date,warehouse_id,warehouse_name,region,product_id,product_name,category,supplier_name,lead_time_days,unit_cost,unit_price,beginning_inventory,units_received,units_demanded,units_sold,ending_inventory,reorder_point,safety_stock,stockout_flag,days_of_supply
2026-06-21,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,8,22.0,49.99,85,0,4,4,81,119,32,False,7.5
2026-06-22,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,10,22.0,49.99,81,0,12,12,69,119,32,False,6.4
2026-06-23,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,10,22.0,49.99,69,0,10,10,59,119,32,False,5.5
2026-06-24,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,10,22.0,49.99,59,173,6,6,226,119,32,False,20.9
2026-06-25,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,13,22.0,49.99,226,0,7,7,219,119,32,False,20.3
2026-06-26,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,13,22.0,49.99,219,0,7,7,212,119,32,False,19.6
2026-06-27,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,15,22.0,49.99,212,0,2,2,210,119,32,False,19.4
2026-06-28,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,17,22.0,49.99,210,0,8,8,202,119,32,False,18.7
2026-06-29,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,17,22.0,49.99,202,0,8,8,194,119,32,False,18.0
2026-06-30,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,19,22.0,49.99,194,0,11,11,183,119,32,False,16.9
2026-07-01,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,22,22.0,49.99,183,0,6,6,177,119,32,False,16.4
2026-07-02,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,21,22.0,49.99,177,0,14,14,163,119,32,False,15.1
2026-07-03,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,21,22.0,49.99,163,0,6,6,157,119,32,False,14.5
2026-07-04,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,157,0,8,8,149,119,32,False,13.8
2026-07-05,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,22,22.0,49.99,149,0,11,11,138,119,32,False,12.8
2026-07-06,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,25,22.0,49.99,138,0,11,11,127,119,32,False,11.8
2026-07-07,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,127,0,13,13,114,119,32,False,10.6
2026-07-08,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,25,22.0,49.99,114,0,15,15,99,119,32,False,9.2
2026-07-09,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,26,22.0,49.99,99,0,6,6,93,119,32,False,8.6
2026-07-10,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,25,22.0,49.99,93,0,17,17,76,119,32,False,7.0
2026-07-11,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,22,22.0,49.99,76,0,9,9,67,119,32,False,6.2
2026-07-12,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,26,22.0,49.99,67,0,9,9,58,119,32,False,5.4
2026-07-13,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,26,22.0,49.99,58,0,12,12,46,119,32,False,4.3
2026-07-14,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,46,0,12,12,34,119,32,False,3.1
2026-07-15,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,24,22.0,49.99,34,0,14,14,20,119,32,False,1.9
2026-07-16,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,20,0,9,9,11,119,32,False,1.0
2026-07-17,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,25,22.0,49.99,11,0,17,11,0,119,32,True,0.0
2026-07-18,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,24,22.0,49.99,0,0,12,0,0,119,32,True,0.0
2026-07-19,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,26,22.0,49.99,0,0,5,0,0,119,32,True,0.0
2026-07-20,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,0,0,9,0,0,119,32,True,0.0
2026-07-21,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,24,22.0,49.99,0,0,15,0,0,119,32,True,0.0
2026-07-22,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,25,22.0,49.99,0,0,12,0,0,119,32,True,0.0
2026-07-23,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,25,22.0,49.99,0,0,16,0,0,119,32,True,0.0
2026-07-24,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,0,0,7,0,0,119,32,True,0.0
2026-07-25,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,25,22.0,49.99,0,0,3,0,0,119,32,True,0.0
2026-07-26,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,25,22.0,49.99,0,0,10,0,0,119,32,True,0.0
2026-07-27,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,0,0,6,0,0,119,32,True,0.0
2026-07-28,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,26,22.0,49.99,0,0,12,0,0,119,32,True,0.0
2026-07-29,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,0,0,13,0,0,119,32,True,0.0
2026-07-30,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,0,173,12,12,161,119,32,False,14.9
2026-07-31,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,22,22.0,49.99,161,0,13,13,148,119,32,False,13.7
2026-08-01,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,23,22.0,49.99,148,0,10,10,138,119,32,False,12.8
2026-08-02,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,24,22.0,49.99,138,0,6,6,132,119,32,False,12.2
2026-08-03,WH-EAST,Newark DC,Northeast,E1,Wireless Earbuds Pro,Electronics,TechSource Asia,24,22.0,49.99,132,0,9,9,123,119,32,False,11.4
2026-05-06,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,218,0,15,15,203,145,40,False,15.4
2026-05-07,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,7,14.0,34.99,203,0,10,10,193,145,40,False,14.6
2026-05-08,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,6,14.0,34.99,193,0,13,13,180,145,40,False,13.6
2026-05-09,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,7,14.0,34.99,180,0,17,17,163,145,40,False,12.3
2026-05-10,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,7,14.0,34.99,163,0,5,5,158,145,40,False,12.0
2026-05-11,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,9,14.0,34.99,158,0,9,9,149,145,40,False,11.3
2026-05-12,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,5,14.0,34.99,149,0,18,18,131,145,40,False,9.9
2026-05-13,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,9,14.0,34.99,131,0,14,14,117,145,40,False,8.9
2026-05-14,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,4,14.0,34.99,117,0,16,16,101,145,40,False,7.7
2026-05-15,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,9,14.0,34.99,101,0,15,15,86,145,40,False,6.5
2026-05-16,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,86,0,4,4,82,145,40,False,6.2
2026-05-17,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,9,14.0,34.99,82,211,11,11,282,145,40,False,21.4
2026-05-18,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,7,14.0,34.99,282,0,19,19,263,145,40,False,19.9
2026-05-19,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,6,14.0,34.99,263,0,11,11,252,145,40,False,19.1
2026-05-20,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,10,14.0,34.99,252,0,13,13,239,145,40,False,18.1
2026-05-21,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,5,14.0,34.99,239,0,17,17,222,145,40,False,16.8
2026-05-22,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,222,0,15,15,207,145,40,False,15.7
2026-05-23,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,207,0,14,14,193,145,40,False,14.6
2026-05-24,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,193,0,7,7,186,145,40,False,14.1
2026-05-25,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,186,0,14,14,172,145,40,False,13.0
2026-05-26,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,172,0,15,15,157,145,40,False,11.9
2026-05-27,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,6,14.0,34.99,157,0,14,14,143,145,40,False,10.8
2026-05-28,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,143,0,18,18,125,145,40,False,9.5
2026-05-29,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,11,14.0,34.99,125,0,12,12,113,145,40,False,8.6
2026-05-30,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,113,0,11,11,102,145,40,False,7.7
2026-05-31,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,5,14.0,34.99,102,0,9,9,93,145,40,False,7.0
2026-06-01,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,6,14.0,34.99,93,0,15,15,78,145,40,False,5.9
2026-06-02,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,9,14.0,34.99,78,211,17,17,272,145,40,False,20.6
2026-06-03,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,7,14.0,34.99,272,0,14,14,258,145,40,False,19.5
2026-06-04,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,258,0,13,13,245,145,40,False,18.6
2026-06-05,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,9,14.0,34.99,245,0,12,12,233,145,40,False,17.7
2026-06-06,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,10,14.0,34.99,233,0,10,10,223,145,40,False,16.9
2026-06-07,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,9,14.0,34.99,223,0,13,13,210,145,40,False,15.9
2026-06-08,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,11,14.0,34.99,210,0,6,6,204,145,40,False,15.5
2026-06-09,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,204,0,13,13,191,145,40,False,14.5
2026-06-10,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,10,14.0,34.99,191,0,16,16,175,145,40,False,13.3
2026-06-11,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,7,14.0,34.99,175,0,19,19,156,145,40,False,11.8
2026-06-12,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,6,14.0,34.99,156,0,19,19,137,145,40,False,10.4
2026-06-13,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,4,14.0,34.99,137,0,11,11,126,145,40,False,9.5
2026-06-14,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,9,14.0,34.99,126,0,12,12,114,145,40,False,8.6
2026-06-15,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,5,14.0,34.99,114,0,8,8,106,145,40,False,8.0
2026-06-16,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,5,14.0,34.99,106,0,6,6,100,145,40,False,7.6
2026-06-17,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,100,0,11,11,89,145,40,False,6.7
2026-06-18,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,6,14.0,34.99,89,211,12,12,288,145,40,False,21.8
2026-06-19,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,7,14.0,34.99,288,0,10,10,278,145,40,False,21.1
2026-06-20,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,278,0,2,2,276,145,40,False,20.9
2026-06-21,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,8,14.0,34.99,276,0,4,4,272,145,40,False,20.6
2026-06-22,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,10,14.0,34.99,272,0,17,17,255,145,40,False,19.3
2026-06-23,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,13,14.0,34.99,255,0,10,10,245,145,40,False,18.6
2026-06-24,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,11,14.0,34.99,245,0,10,10,235,145,40,False,17.8
2026-06-25,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,14,14.0,34.99,235,0,16,16,219,145,40,False,16.6
2026-06-26,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,15,14.0,34.99,219,0,3,3,216,145,40,False,16.4
2026-06-27,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,12,14.0,34.99,216,0,7,7,209,145,40,False,15.8
2026-06-28,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,16,14.0,34.99,209,0,13,13,196,145,40,False,14.8
2026-06-29,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,19,14.0,34.99,196,0,16,16,180,145,40,False,13.6
2026-06-30,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,21,14.0,34.99,180,0,11,11,169,145,40,False,12.8
2026-07-01,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,22,14.0,34.99,169,0,8,8,161,145,40,False,12.2
2026-07-02,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,19,14.0,34.99,161,0,9,9,152,145,40,False,11.5
2026-07-03,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,20,14.0,34.99,152,0,18,18,134,145,40,False,10.2
2026-07-04,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,21,14.0,34.99,134,0,6,6,128,145,40,False,9.7
2026-07-05,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,25,14.0,34.99,128,0,13,13,115,145,40,False,8.7
2026-07-06,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,23,14.0,34.99,115,0,13,13,102,145,40,False,7.7
2026-07-07,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,23,14.0,34.99,102,0,18,18,84,145,40,False,6.4
2026-07-08,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,24,14.0,34.99,84,0,9,9,75,145,40,False,5.7
2026-07-09,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,22,14.0,34.99,75,0,13,13,62,145,40,False,4.7
2026-07-10,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,24,14.0,34.99,62,0,12,12,50,145,40,False,3.8
2026-07-11,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,26,14.0,34.99,50,0,10,10,40,145,40,False,3.0
2026-07-12,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,27,14.0,34.99,40,0,12,12,28,145,40,False,2.1
2026-07-13,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,24,14.0,34.99,28,0,8,8,20,145,40,False,1.5
2026-07-14,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,25,14.0,34.99,20,0,10,10,10,145,40,False,0.8
2026-07-15,WH-EAST,Newark DC,Northeast,E2,USB-C Power Bank 20000mAh,Electronics,TechSource Asia,24,14.0,34.99,10,0,18,10,0,145,40,True,0.0
