employee_id,review_year,review_period,rating,potential,manager_score,goals_met_pct
100024,2024,Annual,Meets Expectations,Medium,5.8,70
100026,2023,Annual,Unsatisfactory,Low,0.0,6
100026,2024,Annual,Exceeds Expectations,Medium,8.2,76
100026,2025,Annual,Below Expectations,Medium,4.8,38
100027,2024,Annual,Exceeds Expectations,Medium,7.8,77
100027,2025,Annual,Below Expectations,Low,4.6,33
100028,2022,Annual,Meets Expectations,Low,6.7,63
100028,2023,Annual,Exceeds Expectations,Medium,7.1,75
100028,2024,Annual,Exceptional,High,9.8,94
100028,2025,Annual,Below Expectations,Low,3.8,40
100029,2023,Annual,Exceeds Expectations,High,8.1,79
100029,2024,Annual,Meets Expectations,Medium,5.7,57
100029,2025,Annual,Unsatisfactory,Low,1.3,16
100030,2022,Annual,Exceptional,Medium,9.2,89
100030,2023,Annual,Exceptional,High,9.6,89
100030,2024,Annual,Meets Expectations,Medium,7.0,57
100030,2025,Annual,Below Expectations,Low,3.7,33
100031,2022,Annual,Meets Expectations,Medium,6.6,67
100031,2023,Annual,Meets Expectations,Low,5.0,54
100031,2024,Annual,Exceptional,High,9.9,88
100031,2025,Annual,Exceeds Expectations,High,7.8,75
100032,2023,Annual,Exceeds Expectations,Medium,8.1,85
100032,2024,Annual,Meets Expectations,Medium,6.6,55
100032,2025,Annual,Exceeds Expectations,Medium,8.4,75
100033,2022,Annual,Exceeds Expectations,Medium,7.2,81
100033,2023,Annual,Meets Expectations,Medium,6.3,53
100033,2024,Annual,Below Expectations,Low,3.2,48
100033,2025,Annual,Meets Expectations,Medium,6.3,70
100034,2022,Annual,Exceptional,High,8.6,98
100034,2023,Annual,Meets Expectations,Medium,5.3,69
100034,2024,Annual,Meets Expectations,Low,5.4,63
100034,2025,Annual,Meets Expectations,Low,6.8,52
100036,2022,Annual,Exceeds Expectations,Medium,7.4,84
100036,2023,Annual,Exceeds Expectations,Medium,8.3,82
100036,2024,Annual,Meets Expectations,Medium,5.8,53
100036,2025,Annual,Unsatisfactory,Low,1.1,14
100037,2023,Annual,Unsatisfactory,Low,2.4,6
100037,2024,Annual,Exceeds Expectations,Medium,7.4,80
100037,2025,Annual,Exceeds Expectations,Medium,8.1,78
100038,2023,Annual,Meets Expectations,Medium,5.5,54
100038,2024,Annual,Meets Expectations,Low,5.6,66
100038,2025,Annual,Exceeds Expectations,Medium,8.3,80
100039,2022,Annual,Meets Expectations,Medium,5.2,70
100039,2023,Annual,Meets Expectations,Low,6.8,63
100039,2024,Annual,Below Expectations,Low,3.3,39
100039,2025,Annual,Meets Expectations,Low,5.7,60
100040,2022,Annual,Below Expectations,Low,4.5,33
100040,2023,Annual,Meets Expectations,Medium,5.8,58
100040,2024,Annual,Meets Expectations,Low,6.6,50
100040,2025,Annual,Exceptional,Medium,9.7,85
100041,2022,Annual,Meets Expectations,Medium,6.2,66
100041,2023,Annual,Exceeds Expectations,High,7.2,81
100041,2024,Annual,Exceeds Expectations,Medium,8.4,83
100041,2025,Annual,Meets Expectations,Medium,5.6,70
100042,2023,Annual,Meets Expectations,Medium,6.6,56
100042,2024,Annual,Unsatisfactory,Low,0.5,28
100042,2025,Annual,Below Expectations,Medium,4.3,43
100043,2025,Annual,Unsatisfactory,Low,2.5,5
100044,2022,Annual,Exceeds Expectations,High,7.8,74
100044,2023,Annual,Exceeds Expectations,Medium,8.1,73
100044,2024,Annual,Exceeds Expectations,High,8.2,80
100044,2025,Annual,Below Expectations,Medium,3.3,46
100045,2022,Annual,Exceeds Expectations,Medium,7.1,84
100045,2023,Annual,Unsatisfactory,Low,0.9,17
100045,2024,Annual,Meets Expectations,Medium,6.0,51
100045,2025,Annual,Exceptional,High,8.8,98
100047,2023,Annual,Meets Expectations,Medium,5.9,66
100047,2024,Annual,Below Expectations,Low,4.8,30
100047,2025,Annual,Exceeds Expectations,Medium,7.3,71
100048,2022,Annual,Exceeds Expectations,Medium,7.9,76
100048,2023,Annual,Meets Expectations,Medium,6.3,58
100048,2024,Annual,Meets Expectations,Medium,5.3,70
100048,2025,Annual,Exceeds Expectations,High,8.4,74
100049,2022,Annual,Meets Expectations,Low,6.5,54
100049,2023,Annual,Meets Expectations,Medium,6.5,66
100050,2025,Annual,Meets Expectations,Low,5.0,68
100051,2022,Annual,Exceptional,Medium,9.5,87
100051,2023,Annual,Unsatisfactory,Low,0.5,5
100051,2024,Annual,Meets Expectations,Medium,6.9,70
100051,2025,Annual,Exceeds Expectations,High,7.3,74
100052,2022,Annual,Below Expectations,Low,3.8,43
100052,2023,Annual,Exceeds Expectations,Medium,7.6,80
100052,2024,Annual,Meets Expectations,Medium,5.8,55
100052,2025,Annual,Exceeds Expectations,Medium,7.3,74
100053,2022,Annual,Meets Expectations,Low,6.8,67
100053,2023,Annual,Meets Expectations,Medium,6.0,60
100053,2024,Annual,Below Expectations,Low,3.2,35
100053,2025,Annual,Below Expectations,Medium,3.4,43
100054,2024,Annual,Below Expectations,Low,4.4,48
100054,2025,Annual,Exceeds Expectations,High,7.5,85
100055,2022,Annual,Exceeds Expectations,Medium,8.2,85
100055,2023,Annual,Meets Expectations,Low,6.0,67
100055,2024,Annual,Unsatisfactory,Low,0.8,14
100055,2025,Annual,Meets Expectations,Medium,5.3,50
100056,2022,Annual,Meets Expectations,Medium,6.3,67
100056,2023,Annual,Exceptional,Medium,9.6,88
100056,2024,Annual,Meets Expectations,Medium,5.6,65
100056,2025,Annual,Meets Expectations,Medium,6.8,58
100057,2022,Annual,Meets Expectations,Medium,5.3,66
100057,2023,Annual,Meets Expectations,Low,5.3,62
100057,2024,Annual,Below Expectations,Medium,4.9,37
100057,2025,Annual,Meets Expectations,Medium,6.9,59
100058,2022,Annual,Exceeds Expectations,High,7.1,79
100058,2023,Annual,Exceeds Expectations,Medium,8.4,71
100058,2024,Annual,Exceptional,High,9.4,97
100058,2025,Annual,Exceeds Expectations,Medium,7.4,70
100059,2022,Annual,Meets Expectations,Medium,5.5,58
100059,2023,Annual,Exceptional,Medium,9.7,85
100059,2024,Annual,Exceptional,High,8.8,89
100059,2025,Annual,Exceeds Expectations,Medium,7.0,71
100060,2022,Annual,Meets Expectations,Medium,5.8,55
100060,2023,Annual,Meets Expectations,Medium,5.4,69
100060,2024,Annual,Exceeds Expectations,Medium,8.4,73
100060,2025,Annual,Meets Expectations,Medium,5.9,53
100061,2022,Annual,Meets Expectations,Medium,5.7,52
100061,2023,Annual,Exceeds Expectations,Medium,7.9,73
100061,2024,Annual,Meets Expectations,Medium,5.3,65
100061,2025,Annual,Meets Expectations,Medium,5.3,63
100063,2022,Annual,Meets Expectations,Medium,5.3,65
100063,2023,Annual,Exceeds Expectations,Medium,7.9,83
100063,2024,Annual,Exceeds Expectations,Medium,8.0,85
100063,2025,Annual,Unsatisfactory,Low,1.4,13
100064,2022,Annual,Exceeds Expectations,Medium,8.0,84
100064,2023,Annual,Below Expectations,Medium,3.8,49
100064,2024,Annual,Below Expectations,Low,3.4,31
100064,2025,Annual,Exceeds Expectations,High,7.6,84
100065,2022,Annual,Meets Expectations,Low,6.5,66
100065,2023,Annual,Meets Expectations,Medium,5.3,66
100065,2024,Annual,Meets Expectations,Medium,6.3,70
100065,2025,Annual,Meets Expectations,Medium,6.9,50
100067,2022,Annual,Exceptional,Medium,9.6,85
100067,2023,Annual,Exceeds Expectations,Medium,8.3,83
100067,2024,Annual,Meets Expectations,Low,6.7,67
100067,2025,Annual,Meets Expectations,Medium,6.5,52
100068,2022,Annual,Exceptional,Medium,9.0,91
100068,2023,Annual,Exceeds Expectations,Medium,7.2,78
100068,2024,Annual,Meets Expectations,Medium,6.6,54
100068,2025,Annual,Meets Expectations,Medium,6.1,69
100069,2022,Annual,Exceeds Expectations,High,8.2,80
100069,2023,Annual,Below Expectations,Medium,3.5,43
100069,2024,Annual,Meets Expectations,Medium,5.1,50
100069,2025,Annual,Meets Expectations,Medium,5.9,57
100070,2022,Annual,Exceeds Expectations,Medium,8.4,77
100070,2023,Annual,Below Expectations,Low,4.8,45
100070,2024,Annual,Meets Expectations,Low,7.0,64
100070,2025,Annual,Exceeds Expectations,Medium,7.8,83
100071,2022,Annual,Meets Expectations,Low,5.0,66
100071,2023,Annual,Exceeds Expectations,Medium,7.9,75
100071,2024,Annual,Below Expectations,Medium,3.9,33
100071,2025,Annual,Unsatisfactory,Low,2.0,12
100072,2024,Annual,Meets Expectations,Medium,6.5,69
100072,2025,Annual,Below Expectations,Medium,4.0,38
100073,2022,Annual,Meets Expectations,Medium,5.6,69
100073,2023,Annual,Meets Expectations,Low,5.7,63
100073,2024,Annual,Meets Expectations,Low,5.6,59
100073,2025,Annual,Meets Expectations,Medium,5.7,63
100074,2022,Annual,Exceptional,High,8.5,100
100074,2023,Annual,Meets Expectations,Medium,6.2,53
100074,2024,Annual,Exceeds Expectations,High,7.8,72
100074,2025,Annual,Exceptional,Medium,9.6,93
100075,2025,Annual,Exceptional,High,8.9,100
100076,2024,Annual,Exceptional,Medium,9.9,90
100076,2025,Annual,Exceeds Expectations,High,8.3,80
100077,2022,Annual,Meets Expectations,Medium,6.3,54
100077,2023,Annual,Exceeds Expectations,Medium,7.5,71
100077,2024,Annual,Below Expectations,Low,4.1,39
100077,2025,Annual,Meets Expectations,Low,5.2,64
100078,2022,Annual,Below Expectations,Low,4.9,48
100078,2023,Annual,Exceptional,High,9.0,98
100078,2024,Annual,Meets Expectations,Medium,5.6,61
100078,2025,Annual,Meets Expectations,Medium,5.8,59
100079,2022,Annual,Meets Expectations,Low,6.0,53
100079,2023,Annual,Meets Expectations,Medium,5.8,68
100079,2024,Annual,Unsatisfactory,Low,2.5,14
100079,2025,Annual,Below Expectations,Medium,4.7,45
100080,2022,Annual,Below Expectations,Low,3.4,32
100080,2023,Annual,Meets Expectations,Medium,5.5,68
100080,2024,Annual,Meets Expectations,Medium,6.5,61
100080,2025,Annual,Exceeds Expectations,Medium,7.7,83
100081,2025,Annual,Meets Expectations,Medium,5.7,64
100082,2023,Annual,Meets Expectations,Low,6.6,61
100082,2024,Annual,Meets Expectations,Medium,6.7,55
100082,2025,Annual,Exceeds Expectations,High,7.4,85
100083,2022,Annual,Exceptional,High,9.3,89
100083,2023,Annual,Meets Expectations,Medium,5.8,61
100083,2024,Annual,Meets Expectations,Medium,5.4,57
100083,2025,Annual,Below Expectations,Low,5.0,43
100084,2022,Annual,Meets Expectations,Low,5.8,64
100084,2023,Annual,Meets Expectations,Low,6.7,58
100084,2024,Annual,Meets Expectations,Low,5.8,66
100084,2025,Annual,Below Expectations,Low,4.8,33
100085,2022,Annual,Meets Expectations,Low,6.1,58
100085,2023,Annual,Meets Expectations,Medium,5.2,69
100085,2024,Annual,Exceeds Expectations,High,7.9,73
100085,2025,Annual,Meets Expectations,Medium,5.6,66
100086,2023,Annual,Exceptional,High,8.7,95
100086,2024,Annual,Below Expectations,Low,3.8,49
100086,2025,Annual,Meets Expectations,Low,5.1,61
100087,2022,Annual,Meets Expectations,Medium,5.8,68
100087,2023,Annual,Exceeds Expectations,Medium,7.2,79
100087,2024,Annual,Meets Expectations,Medium,5.9,56
100087,2025,Annual,Exceeds Expectations,Medium,7.7,85
100088,2022,Annual,Meets Expectations,Low,5.9,51
100088,2023,Annual,Meets Expectations,Low,6.6,60
100088,2024,Annual,Exceeds Expectations,Medium,7.9,83
100088,2025,Annual,Exceeds Expectations,Medium,7.5,83
100089,2022,Annual,Exceeds Expectations,Medium,7.5,81
100089,2023,Annual,Exceptional,Medium,9.3,100
100089,2024,Annual,Exceptional,High,9.9,97
100089,2025,Annual,Exceeds Expectations,High,8.0,71
100090,2022,Annual,Exceeds Expectations,Medium,8.1,81
100090,2023,Annual,Unsatisfactory,Low,2.5,27
100090,2024,Annual,Exceptional,High,8.8,91
100090,2025,Annual,Meets Expectations,Medium,5.2,64
100091,2024,Annual,Exceeds Expectations,Medium,7.5,82
100091,2025,Annual,Unsatisfactory,Low,1.2,28
100092,2022,Annual,Below Expectations,Low,4.0,33
100092,2023,Annual,Meets Expectations,Low,5.5,52
100092,2024,Annual,Meets Expectations,Medium,6.9,51
100092,2025,Annual,Meets Expectations,Low,5.2,58
100093,2022,Annual,Exceeds Expectations,High,8.2,76
100093,2023,Annual,Meets Expectations,Low,5.8,52
100093,2024,Annual,Exceptional,High,9.5,90
100093,2025,Annual,Meets Expectations,Low,6.2,50
100094,2025,Annual,Exceeds Expectations,Medium,8.1,83
100095,2022,Annual,Exceptional,Medium,9.0,88
100095,2023,Annual,Exceeds Expectations,Medium,8.0,73
100095,2024,Annual,Meets Expectations,Medium,5.5,62
100095,2025,Annual,Meets Expectations,Medium,6.2,70
100096,2022,Annual,Exceeds Expectations,High,8.3,74
100096,2023,Annual,Meets Expectations,Medium,5.8,59
100096,2024,Annual,Meets Expectations,Medium,5.1,66
100096,2025,Annual,Exceeds Expectations,Medium,8.3,77
100097,2022,Annual,Meets Expectations,Medium,6.8,66
100097,2023,Annual,Exceeds Expectations,High,8.3,74
100097,2024,Annual,Below Expectations,Low,4.9,46
100097,2025,Annual,Exceeds Expectations,Medium,7.4,84
100098,2022,Annual,Exceeds Expectations,High,7.6,71
100098,2023,Annual,Meets Expectations,Medium,6.8,65
100098,2024,Annual,Meets Expectations,Medium,6.9,63
100098,2025,Annual,Below Expectations,Low,4.4,33
100099,2022,Annual,Exceptional,Medium,9.3,93
100099,2023,Annual,Meets Expectations,Low,6.1,66
100099,2024,Annual,Meets Expectations,Low,5.5,55
100099,2025,Annual,Meets Expectations,Low,5.1,53
100100,2022,Annual,Meets Expectations,Medium,6.9,66
100100,2023,Annual,Exceeds Expectations,Medium,7.3,70
100100,2024,Annual,Below Expectations,Medium,3.8,34
100100,2025,Annual,Meets Expectations,Low,5.1,53
100101,2025,Annual,Exceeds Expectations,High,8.1,77
100102,2025,Annual,Below Expectations,Low,4.4,40
100103,2022,Annual,Exceeds Expectations,Medium,8.1,77
100103,2023,Annual,Meets Expectations,Medium,6.2,70
100103,2024,Annual,Meets Expectations,Medium,6.9,51
100103,2025,Annual,Meets Expectations,Low,5.3,69
100104,2022,Annual,Meets Expectations,Medium,5.8,56
100104,2023,Annual,Exceeds Expectations,Medium,8.2,81
100104,2024,Annual,Exceeds Expectations,High,8.1,78
100104,2025,Annual,Meets Expectations,Low,6.2,60
100105,2022,Annual,Meets Expectations,Medium,5.2,70
100105,2023,Annual,Meets Expectations,Medium,6.5,68
100105,2024,Annual,Meets Expectations,Medium,5.7,59
100105,2025,Annual,Exceeds Expectations,Medium,7.5,75
100106,2023,Annual,Meets Expectations,Medium,5.1,64
100106,2024,Annual,Meets Expectations,Medium,5.0,56
100106,2025,Annual,Unsatisfactory,Low,0.9,24
100107,2024,Annual,Meets Expectations,Low,7.0,65
100107,2025,Annual,Meets Expectations,Medium,5.9,63
100108,2022,Annual,Meets Expectations,Low,5.5,57
100108,2023,Annual,Below Expectations,Medium,4.2,36
100108,2024,Annual,Exceeds Expectations,Medium,7.4,76
100108,2025,Annual,Meets Expectations,Medium,6.8,54
100109,2022,Annual,Exceeds Expectations,Medium,8.0,82
100109,2023,Annual,Unsatisfactory,Low,1.2,9
100109,2024,Annual,Meets Expectations,Medium,5.2,57
100109,2025,Annual,Exceeds Expectations,High,8.0,73
100110,2022,Annual,Exceeds Expectations,Medium,7.2,75
100110,2023,Annual,Exceptional,High,9.1,90
100110,2024,Annual,Meets Expectations,Low,5.5,61
100110,2025,Annual,Exceeds Expectations,High,8.1,70
100111,2022,Annual,Meets Expectations,Low,6.2,55
100111,2023,Annual,Exceeds Expectations,Medium,7.3,73
100111,2024,Annual,Below Expectations,Medium,4.7,49
100111,2025,Annual,Below Expectations,Low,3.3,44
100112,2022,Annual,Below Expectations,Low,4.6,39
100112,2023,Annual,Exceeds Expectations,Medium,7.3,71
100112,2024,Annual,Meets Expectations,Medium,5.6,57
100112,2025,Annual,Meets Expectations,Medium,6.0,55
100113,2022,Annual,Meets Expectations,Low,6.8,64
100113,2023,Annual,Meets Expectations,Medium,6.0,55
100113,2024,Annual,Meets Expectations,Medium,5.3,69
100113,2025,Annual,Below Expectations,Medium,4.3,34
100114,2022,Annual,Exceeds Expectations,High,7.6,72
100114,2023,Annual,Meets Expectations,Low,6.6,56
100114,2024,Annual,Exceeds Expectations,High,7.3,75
100114,2025,Annual,Meets Expectations,Medium,5.8,65
100115,2022,Annual,Exceeds Expectations,Medium,8.3,70
100115,2023,Annual,Unsatisfactory,Low,0.8,19
100115,2024,Annual,Meets Expectations,Low,6.9,52
100115,2025,Annual,Meets Expectations,Medium,6.2,69
100116,2025,Annual,Exceeds Expectations,Medium,8.0,82
100117,2023,Annual,Below Expectations,Low,4.8,30
100117,2024,Annual,Meets Expectations,Medium,7.0,67
100117,2025,Annual,Meets Expectations,Low,5.4,60
100118,2022,Annual,Meets Expectations,Medium,5.9,56
100118,2023,Annual,Exceeds Expectations,High,8.3,82
100118,2024,Annual,Exceptional,High,9.7,90
100118,2025,Annual,Meets Expectations,Low,6.3,66
100119,2022,Annual,Meets Expectations,Medium,6.3,70
100119,2023,Annual,Exceeds Expectations,High,8.0,83
100119,2024,Annual,Exceptional,High,9.7,94
100119,2025,Annual,Meets Expectations,Medium,6.6,64
100121,2022,Annual,Exceeds Expectations,High,8.4,83
100121,2023,Annual,Below Expectations,Medium,4.9,42
100121,2024,Annual,Exceeds Expectations,Medium,7.6,77
100121,2025,Annual,Meets Expectations,Medium,5.8,55
100122,2022,Annual,Below Expectations,Low,3.2,38
100122,2023,Annual,Unsatisfactory,Low,1.9,28
100122,2024,Annual,Meets Expectations,Medium,6.1,70
100122,2025,Annual,Below Expectations,Low,3.6,37
100123,2022,Annual,Exceeds Expectations,Medium,7.8,79
100123,2023,Annual,Exceeds Expectations,Medium,7.4,77
100123,2024,Annual,Exceeds Expectations,Medium,7.5,85
100123,2025,Annual,Unsatisfactory,Low,0.7,14
100124,2022,Annual,Below Expectations,Medium,3.5,44
100124,2023,Annual,Meets Expectations,Medium,6.8,58
100124,2024,Annual,Exceeds Expectations,Medium,7.5,84
100124,2025,Annual,Exceeds Expectations,Medium,8.2,72
100125,2022,Annual,Below Expectations,Low,3.7,38
100125,2023,Annual,Exceeds Expectations,Medium,7.0,84
100125,2024,Annual,Exceptional,Medium,9.0,88
100125,2025,Annual,Exceptional,High,9.6,94
100126,2022,Annual,Meets Expectations,Medium,5.7,67
100126,2023,Annual,Meets Expectations,Low,6.6,69
100126,2024,Annual,Exceeds Expectations,High,7.3,73
100126,2025,Annual,Meets Expectations,Low,5.8,57
100127,2022,Annual,Exceeds Expectations,High,8.3,80
100127,2023,Annual,Exceeds Expectations,Medium,7.2,71
100127,2024,Annual,Meets Expectations,Low,6.0,63
100127,2025,Annual,Meets Expectations,Low,5.3,54
100128,2022,Annual,Below Expectations,Low,3.1,48
100128,2023,Annual,Meets Expectations,Medium,6.0,52
100128,2024,Annual,Exceeds Expectations,Medium,8.3,82
100128,2025,Annual,Below Expectations,Low,4.1,44
100129,2025,Annual,Below Expectations,Low,3.4,41
100131,2022,Annual,Exceeds Expectations,Medium,7.1,77
100131,2023,Annual,Exceeds Expectations,Medium,7.2,82
100131,2024,Annual,Exceptional,High,9.5,92
100131,2025,Annual,Meets Expectations,Low,5.2,59
100132,2022,Annual,Exceeds Expectations,High,7.2,74
100132,2023,Annual,Exceeds Expectations,Medium,7.6,72
100132,2024,Annual,Exceeds Expectations,Medium,7.1,75
100132,2025,Annual,Meets Expectations,Medium,6.3,69
100133,2022,Annual,Exceeds Expectations,High,7.4,84
100133,2023,Annual,Meets Expectations,Medium,5.2,59
100133,2024,Annual,Meets Expectations,Medium,5.5,65
100133,2025,Annual,Meets Expectations,Low,6.0,54
100134,2023,Annual,Below Expectations,Low,3.8,47
100134,2024,Annual,Exceptional,High,9.2,85
100134,2025,Annual,Exceeds Expectations,High,8.4,83
100135,2022,Annual,Meets Expectations,Medium,5.1,51
100135,2023,Annual,Below Expectations,Medium,4.5,42
100135,2024,Annual,Exceeds Expectations,Medium,7.3,85
100135,2025,Annual,Exceptional,Medium,9.7,90
100136,2022,Annual,Meets Expectations,Low,6.1,64
100136,2023,Annual,Meets Expectations,Low,6.7,54
100136,2024,Annual,Below Expectations,Low,3.7,35
100136,2025,Annual,Exceptional,High,10.0,96
100137,2022,Annual,Below Expectations,Medium,3.9,47
100137,2023,Annual,Exceeds Expectations,Medium,8.5,81
100137,2024,Annual,Below Expectations,Low,4.3,36
100137,2025,Annual,Exceeds Expectations,Medium,7.4,82
100138,2022,Annual,Below Expectations,Medium,3.8,37
100138,2023,Annual,Exceptional,Medium,9.8,92
100138,2024,Annual,Exceeds Expectations,Medium,7.8,76
100138,2025,Annual,Exceptional,High,8.8,94
100139,2022,Annual,Meets Expectations,Low,6.8,61
100139,2023,Annual,Meets Expectations,Medium,5.8,66
100139,2024,Annual,Below Expectations,Medium,4.8,42
100139,2025,Annual,Meets Expectations,Low,5.6,55
100140,2022,Annual,Below Expectations,Medium,3.3,33
100140,2023,Annual,Exceptional,Medium,9.9,99
100140,2024,Annual,Below Expectations,Low,4.9,35
100140,2025,Annual,Meets Expectations,Medium,6.6,69
100142,2022,Annual,Meets Expectations,Medium,6.6,60
100142,2023,Annual,Exceeds Expectations,High,7.3,80
100142,2024,Annual,Meets Expectations,Medium,6.9,65
100142,2025,Annual,Meets Expectations,Medium,6.1,60
100143,2023,Annual,Meets Expectations,Medium,6.1,58
100143,2024,Annual,Exceeds Expectations,Medium,7.2,75
100143,2025,Annual,Exceeds Expectations,Medium,7.2,73
100144,2025,Annual,Exceeds Expectations,Medium,7.4,78
100145,2022,Annual,Exceeds Expectations,High,7.7,70
100145,2023,Annual,Exceeds Expectations,Medium,8.4,81
100145,2024,Annual,Exceeds Expectations,Medium,8.3,74
100145,2025,Annual,Exceeds Expectations,Medium,7.3,76
100146,2022,Annual,Meets Expectations,Low,6.3,67
100146,2023,Annual,Exceeds Expectations,Medium,7.0,76
100146,2024,Annual,Meets Expectations,Medium,6.2,64
100146,2025,Annual,Below Expectations,Low,3.9,30
100147,2022,Annual,Below Expectations,Medium,3.2,45
100147,2023,Annual,Meets Expectations,Medium,5.6,70
100147,2024,Annual,Below Expectations,Low,3.9,41
100147,2025,Annual,Below Expectations,Low,3.9,34
100148,2022,Annual,Exceptional,High,10.0,85
100148,2023,Annual,Meets Expectations,Medium,6.2,61
100148,2024,Annual,Exceeds Expectations,Medium,7.1,77
100148,2025,Annual,Exceeds Expectations,High,7.6,85
100151,2022,Annual,Meets Expectations,Low,5.1,62
100151,2023,Annual,Exceeds Expectations,Medium,7.6,77
100151,2024,Annual,Exceptional,High,9.3,95
100151,2025,Annual,Exceptional,High,10.0,89
100152,2022,Annual,Below Expectations,Medium,3.3,41
100152,2023,Annual,Unsatisfactory,Low,1.5,7
100152,2024,Annual,Meets Expectations,Low,5.4,65
100152,2025,Annual,Exceeds Expectations,Medium,8.1,85
100153,2022,Annual,Below Expectations,Medium,4.1,42
100153,2023,Annual,Exceeds Expectations,Medium,8.2,76
