employee_id,effective_date,event_type,from_department,to_department,from_grade,to_grade,from_title,to_title,from_salary,to_salary
100064,2017-07-05,Transfer,Sales,HR,G2,G2,Sales Representative II,HR Coordinator II,77620.0,77620.0
100065,2022-07-22,Hire,,HR,,G4,,Senior HR Specialist,,110008.0
100065,2024-07-15,Promotion,HR,HR,G4,G5,Senior HR Specialist,HR Business Partner,110008.0,133120.0
100066,2026-04-13,Hire,,Finance,,G2,,Finance Analyst II,,77099.0
100067,2022-07-04,Hire,,Marketing,,G8,,VP of Marketing,,297991.0
100067,2024-04-14,Transfer,Operations,Marketing,G8,G8,VP of Operations,VP of Marketing,301264.0,301264.0
100068,2021-10-12,Hire,,Sales,,G2,,Sales Representative II,,65679.0
100069,2022-01-18,Hire,,Operations,,G7,,Operations Director,,241928.0
100070,2018-04-07,Hire,,Finance,,G3,,Senior Finance Analyst,,86410.0
100070,2020-05-21,Transfer,Customer Support,Finance,G3,G3,Senior Support Representative,Senior Finance Analyst,86457.0,86457.0
100071,2018-02-16,Hire,,IT,,G3,,Software Engineer II,,77072.0
100072,2024-11-01,Hire,,Marketing,,G3,,Marketing Specialist,,75009.0
100073,2019-11-12,Hire,,Sales,,G1,,Sales Representative I,,42685.0
100074,2018-01-03,Hire,,HR,,G6,,HR Manager,,188894.0
100074,2018-06-20,Promotion,HR,HR,G6,G7,HR Manager,HR Director,188894.0,252014.0
100075,2025-04-17,Hire,,Marketing,,G4,,Senior Marketing Specialist,,131903.0
100075,2026-03-21,Promotion,Marketing,Marketing,G4,G5,Senior Marketing Specialist,Marketing Lead,131903.0,133711.0
100076,2024-08-17,Hire,,Sales,,G6,,Sales Manager,,160347.0
100077,2020-01-19,Hire,,Finance,,G3,,Senior Finance Analyst,,82207.0
100077,2024-06-08,Promotion,Finance,Finance,G3,G4,Senior Finance Analyst,Finance Lead,82207.0,104394.0
100078,2021-04-11,Hire,,IT,,G3,,Software Engineer II,,89841.0
100079,2018-12-29,Hire,,Marketing,,G4,,Senior Marketing Specialist,,97913.0
100080,2017-07-02,Hire,,Finance,,G3,,Senior Finance Analyst,,75597.0
100081,2025-11-03,Hire,,IT,,G4,,Senior Software Engineer,,102694.0
100081,2026-05-26,Termination,IT,,G5,,Staff Engineer,,136317.0,
100082,2023-04-06,Hire,,IT,,G4,,Senior Software Engineer,,97160.0
100083,2021-06-22,Hire,,HR,,G3,,HR Specialist,,89485.0
100083,2021-10-09,Promotion,HR,HR,G3,G4,HR Specialist,Senior HR Specialist,89485.0,119496.0
100084,2018-01-05,Hire,,IT,,G3,,Software Engineer II,,83093.0
100084,2018-08-02,Promotion,IT,IT,G3,G4,Software Engineer II,Senior Software Engineer,83093.0,106552.0
100085,2022-11-12,Hire,,Finance,,G4,,Finance Lead,,104862.0
100086,2023-06-17,Hire,,Finance,,G1,,Finance Analyst I,,47887.0
100087,2019-12-19,Hire,,Operations,,G2,,Operations Coordinator II,,56613.0
100088,2022-05-06,Hire,,Customer Support,,G2,,Support Representative II,,64488.0
100089,2018-06-01,Hire,,Finance,,G4,,Finance Lead,,125204.0
100090,2018-11-04,Hire,,Marketing,,G4,,Senior Marketing Specialist,,109164.0
100091,2024-04-26,Hire,,Sales,,G1,,Sales Representative I,,49273.0
100091,2025-01-30,Termination,Sales,,G1,,Sales Representative I,,56150.0,
100091,2025-06-06,Transfer,Finance,Sales,G1,G1,Finance Analyst I,Sales Representative I,56150.0,56150.0
100092,2022-06-14,Hire,,Finance,,G3,,Senior Finance Analyst,,98672.0
100093,2018-11-02,Hire,,IT,,G3,,Software Engineer II,,91880.0
100094,2025-03-17,Hire,,Sales,,G4,,Sales Specialist,,100733.0
100095,2021-08-14,Hire,,Operations,,G2,,Operations Coordinator II,,59364.0
100095,2023-04-19,Transfer,Finance,Operations,G2,G2,Finance Analyst II,Operations Coordinator II,74104.0,74104.0
100096,2020-12-28,Hire,,Operations,,G7,,Operations Director,,194960.0
100097,2022-10-23,Hire,,HR,,G2,,HR Coordinator II,,56499.0
100098,2016-07-21,Hire,,Operations,,G1,,Operations Coordinator I,,40730.0
100099,2022-03-08,Hire,,Operations,,G5,,Operations Lead,,133303.0
100100,2019-12-24,Hire,,Finance,,G2,,Finance Analyst II,,61553.0
100101,2025-10-08,Hire,,Sales,,G2,,Sales Representative II,,65033.0
100101,2026-04-26,Transfer,Customer Support,Sales,G2,G2,Support Representative II,Sales Representative II,70082.0,70082.0
100102,2025-02-21,Hire,,Operations,,G6,,Operations Manager,,159617.0
100103,2019-11-02,Hire,,Sales,,G3,,Senior Sales Representative,,75789.0
100104,2022-03-11,Hire,,Operations,,G2,,Operations Coordinator II,,79373.0
100105,2018-07-14,Hire,,Finance,,G2,,Finance Analyst II,,56049.0
100106,2023-08-09,Hire,,Customer Support,,G3,,Senior Support Representative,,96045.0
100107,2024-12-04,Hire,,Customer Support,,G1,,Support Representative I,,40869.0
100108,2019-01-12,Hire,,Sales,,G6,,Sales Manager,,155703.0
100109,2017-05-25,Hire,,Sales,,G4,,Sales Specialist,,124158.0
100110,2022-08-12,Hire,,Customer Support,,G4,,Support Specialist,,116256.0
100111,2020-08-13,Hire,,IT,,G2,,Software Engineer I,,61820.0
100111,2025-07-31,Transfer,Finance,IT,G2,G2,Finance Analyst II,Software Engineer I,71865.0,71865.0
100112,2018-12-04,Hire,,IT,,G3,,Software Engineer II,,91326.0
100112,2025-08-12,Termination,IT,,G4,,Senior Software Engineer,,122213.0,
100113,2017-07-26,Hire,,Marketing,,G2,,Marketing Coordinator II,,57655.0
100114,2019-02-06,Hire,,IT,,G2,,Software Engineer I,,55825.0
100115,2018-01-19,Hire,,Marketing,,G2,,Marketing Coordinator II,,66268.0
100115,2021-06-02,Transfer,HR,Marketing,G3,G3,HR Specialist,Marketing Specialist,87755.0,87755.0
100116,2025-08-01,Hire,,IT,,G1,,IT Support Specialist I,,50897.0
100116,2026-04-24,Promotion,IT,IT,G1,G2,IT Support Specialist I,Software Engineer I,50897.0,58465.0
100117,2023-06-30,Hire,,Finance,,G5,,Senior Finance Lead,,130747.0
100118,2021-08-10,Hire,,Finance,,G6,,Finance Manager,,156173.0
100119,2020-07-07,Hire,,IT,,G3,,Software Engineer II,,90710.0
100120,2026-01-25,Hire,,Marketing,,G1,,Marketing Coordinator I,,40663.0
100120,2026-05-21,Transfer,Customer Support,Marketing,G1,G1,Support Representative I,Marketing Coordinator I,41613.0,41613.0
100121,2016-09-16,Hire,,Sales,,G4,,Sales Specialist,,113040.0
100122,2018-01-04,Hire,,Sales,,G3,,Senior Sales Representative,,78339.0
100123,2019-12-29,Hire,,Sales,,G4,,Sales Specialist,,107186.0
100124,2019-05-19,Hire,,Finance,,G5,,Senior Finance Lead,,140290.0
100125,2019-03-09,Hire,,Marketing,,G4,,Senior Marketing Specialist,,132116.0
100126,2021-04-11,Hire,,Customer Support,,G2,,Support Representative II,,59300.0
100127,2022-10-30,Hire,,Operations,,G7,,Operations Director,,239911.0
100128,2020-01-03,Hire,,Sales,,G3,,Senior Sales Representative,,86158.0
100129,2025-07-29,Hire,,Customer Support,,G6,,Support Manager,,172434.0
100130,2026-05-03,Hire,,Operations,,G3,,Operations Analyst,,77921.0
100131,2022-09-20,Hire,,Sales,,G5,,Senior Sales Specialist,,133167.0
100132,2022-01-09,Hire,,Finance,,G3,,Senior Finance Analyst,,100345.0
100133,2016-10-11,Hire,,Marketing,,G3,,Marketing Specialist,,96033.0
100134,2023-08-19,Hire,,Finance,,G4,,Finance Lead,,95260.0
100135,2022-06-28,Hire,,Sales,,G1,,Sales Representative I,,55813.0
100136,2018-10-14,Hire,,Sales,,G3,,Senior Sales Representative,,100442.0
100137,2019-04-06,Hire,,Marketing,,G2,,Marketing Coordinator II,,63556.0
100138,2020-05-08,Hire,,Operations,,G4,,Senior Operations Analyst,,98095.0
100138,2025-05-18,Transfer,Sales,Operations,G4,G4,Sales Specialist,Senior Operations Analyst,110321.0,110321.0
100138,2025-08-11,Termination,Operations,,G4,,Senior Operations Analyst,,110321.0,
100139,2022-02-09,Hire,,HR,,G4,,Senior HR Specialist,,104945.0
100140,2019-12-04,Hire,,Marketing,,G5,,Marketing Lead,,129015.0
100140,2023-06-08,Transfer,Finance,Marketing,G5,G5,Senior Finance Lead,Marketing Lead,129893.0,129893.0
100141,2026-02-22,Hire,,HR,,G2,,HR Coordinator II,,56141.0
100142,2019-10-29,Hire,,HR,,G3,,HR Specialist,,79008.0
100143,2023-09-03,Hire,,Customer Support,,G6,,Support Manager,,168027.0
100144,2025-09-21,Hire,,Customer Support,,G4,,Support Specialist,,106930.0
100145,2018-11-24,Hire,,Operations,,G3,,Operations Analyst,,93242.0
100146,2020-11-04,Hire,,Customer Support,,G4,,Support Specialist,,114853.0
100147,2020-05-27,Hire,,HR,,G3,,HR Specialist,,99945.0
100148,2020-05-20,Hire,,Customer Support,,G1,,Support Representative I,,45444.0
100149,2026-03-02,Hire,,IT,,G2,,Software Engineer I,,71738.0
100150,2026-01-17,Hire,,HR,,G3,,HR Specialist,,81994.0
100151,2021-07-13,Hire,,Customer Support,,G5,,Senior Support Specialist,,147205.0
100152,2016-09-08,Hire,,Marketing,,G1,,Marketing Coordinator I,,43765.0
100153,2017-12-02,Hire,,Customer Support,,G6,,Support Manager,,166519.0
100154,2023-10-04,Hire,,HR,,G4,,Senior HR Specialist,,134938.0
100154,2025-11-03,Termination,HR,,G5,,HR Business Partner,,138936.0,
100155,2022-03-20,Hire,,Customer Support,,G7,,Support Director,,214709.0
100156,2018-05-16,Hire,,Sales,,G1,,Sales Representative I,,54063.0
100156,2024-11-19,Transfer,HR,Sales,G1,G1,HR Coordinator I,Sales Representative I,54172.0,54172.0
100157,2019-05-26,Hire,,HR,,G6,,HR Manager,,164429.0
100157,2020-03-23,Transfer,Finance,HR,G6,G6,Finance Manager,HR Manager,174465.0,174465.0
100158,2018-04-11,Hire,,HR,,G2,,HR Coordinator II,,56133.0
100159,2023-05-16,Hire,,Sales,,G2,,Sales Representative II,,67566.0
100160,2024-01-12,Hire,,Customer Support,,G1,,Support Representative I,,48733.0
100161,2020-06-01,Hire,,Finance,,G5,,Senior Finance Lead,,125359.0
100161,2020-10-26,Transfer,Operations,Finance,G5,G5,Operations Lead,Senior Finance Lead,126559.0,126559.0
100162,2020-09-07,Hire,,Marketing,,G1,,Marketing Coordinator I,,53242.0
100163,2017-01-16,Hire,,Marketing,,G3,,Marketing Specialist,,96392.0
100163,2021-01-14,Promotion,Marketing,Marketing,G3,G4,Marketing Specialist,Senior Marketing Specialist,96392.0,130338.0
100164,2023-08-20,Hire,,Marketing,,G2,,Marketing Coordinator II,,60645.0
100164,2024-03-27,Promotion,Marketing,Marketing,G2,G3,Marketing Coordinator II,Marketing Specialist,60645.0,89404.0
100165,2020-12-26,Hire,,Sales,,G6,,Sales Manager,,168156.0
100166,2024-09-19,Hire,,IT,,G2,,Software Engineer I,,58909.0
100167,2019-04-22,Hire,,Sales,,G8,,VP of Sales,,247485.0
100167,2022-07-15,Transfer,Finance,Sales,G8,G8,VP of Finance,VP of Sales,249372.0,249372.0
100168,2018-03-02,Hire,,Finance,,G4,,Finance Lead,,105652.0
100169,2018-10-19,Hire,,IT,,G4,,Senior Software Engineer,,115593.0
100170,2021-08-12,Hire,,Sales,,G4,,Sales Specialist,,96487.0
100171,2019-04-24,Hire,,HR,,G5,,HR Business Partner,,125325.0
100172,2019-04-21,Hire,,Finance,,G4,,Finance Lead,,100024.0
100172,2023-08-28,Promotion,Finance,Finance,G4,G5,Finance Lead,Senior Finance Lead,100024.0,156770.0
100172,2026-04-17,Termination,Finance,,G5,,Senior Finance Lead,,138017.0,
100173,2016-08-07,Hire,,Marketing,,G3,,Marketing Specialist,,87569.0
100174,2021-12-17,Hire,,Sales,,G2,,Sales Representative II,,73047.0
100175,2023-04-07,Hire,,Sales,,G2,,Sales Representative II,,70539.0
100176,2019-09-25,Hire,,Sales,,G1,,Sales Representative I,,45562.0
100177,2025-11-13,Hire,,Marketing,,G6,,Marketing Manager,,158925.0
100178,2021-12-21,Hire,,HR,,G6,,HR Manager,,189010.0
100178,2022-04-19,Transfer,Finance,HR,G6,G6,Finance Manager,HR Manager,201029.0,201029.0
100179,2017-09-19,Hire,,Operations,,G3,,Operations Analyst,,81406.0
100180,2021-03-05,Hire,,Marketing,,G3,,Marketing Specialist,,86886.0
100181,2024-08-25,Hire,,Sales,,G4,,Sales Specialist,,123287.0
100182,2020-06-28,Hire,,Operations,,G1,,Operations Coordinator I,,45563.0
100183,2017-06-07,Hire,,IT,,G1,,IT Support Specialist I,,50807.0
100184,2021-03-29,Hire,,Finance,,G2,,Finance Analyst II,,77658.0
100184,2024-10-23,Promotion,Finance,Finance,G2,G3,Finance Analyst II,Senior Finance Analyst,77658.0,77218.0
100185,2021-11-18,Hire,,HR,,G4,,Senior HR Specialist,,120780.0
100186,2017-11-20,Hire,,Finance,,G6,,Finance Manager,,161361.0
100187,2024-11-06,Hire,,Operations,,G3,,Operations Analyst,,86419.0
100188,2021-03-18,Hire,,Operations,,G1,,Operations Coordinator I,,40944.0
100188,2025-02-26,Promotion,Operations,Operations,G1,G2,Operations Coordinator I,Operations Coordinator II,40944.0,62078.0
100189,2022-12-23,Hire,,Marketing,,G4,,Senior Marketing Specialist,,104751.0
100189,2025-08-13,Promotion,Marketing,Marketing,G4,G5,Senior Marketing Specialist,Marketing Lead,104751.0,153114.0
100190,2017-03-06,Hire,,Sales,,G2,,Sales Representative II,,55415.0
100191,2026-04-12,Hire,,IT,,G2,,Software Engineer I,,59263.0
100191,2026-06-10,Termination,IT,,G2,,Software Engineer I,,69912.0,
100192,2020-06-12,Hire,,Operations,,G5,,Operations Lead,,133075.0
100193,2023-10-23,Hire,,Finance,,G3,,Senior Finance Analyst,,88036.0
100193,2025-02-18,Promotion,Finance,Finance,G3,G4,Senior Finance Analyst,Finance Lead,88036.0,95048.0
100194,2020-08-05,Hire,,Finance,,G3,,Senior Finance Analyst,,78033.0
100194,2023-07-09,Transfer,Sales,Finance,G3,G3,Senior Sales Representative,Senior Finance Analyst,81889.0,81889.0
100195,2021-02-05,Hire,,Operations,,G3,,Operations Analyst,,99642.0
100195,2025-05-19,Termination,Operations,,G4,,Senior Operations Analyst,,113066.0,
100196,2019-04-16,Hire,,Sales,,G4,,Sales Specialist,,96622.0
100196,2019-07-18,Transfer,Marketing,Sales,G4,G4,Senior Marketing Specialist,Sales Specialist,97460.0,97460.0
100197,2023-06-02,Hire,,Marketing,,G6,,Marketing Manager,,179824.0
100198,2023-07-19,Hire,,Operations,,G1,,Operations Coordinator I,,41111.0
100199,2016-07-10,Hire,,IT,,G4,,Senior Software Engineer,,98674.0
100199,2017-12-06,Termination,IT,,G4,,Senior Software Engineer,,104776.0,
100200,2021-10-27,Hire,,Sales,,G4,,Sales Specialist,,97517.0
100200,2023-07-04,Transfer,Marketing,Sales,G4,G4,Senior Marketing Specialist,Sales Specialist,97963.0,97963.0
100201,2026-02-06,Hire,,Finance,,G2,,Finance Analyst II,,73262.0
100202,2020-08-10,Hire,,HR,,G2,,HR Coordinator II,,68871.0
100202,2022-11-28,Transfer,Customer Support,HR,G2,G2,Support Representative II,HR Coordinator II,72360.0,72360.0
100203,2021-03-01,Hire,,Operations,,G4,,Senior Operations Analyst,,120957.0
100203,2023-03-21,Transfer,Marketing,Operations,G5,G5,Marketing Lead,Operations Lead,157813.0,157813.0
100204,2023-02-12,Hire,,IT,,G3,,Software Engineer II,,84759.0
100205,2022-02-24,Hire,,Sales,,G7,,Sales Director,,194820.0
100206,2018-04-07,Hire,,Finance,,G5,,Senior Finance Lead,,131840.0
100206,2024-03-20,Promotion,Finance,Finance,G5,G6,Senior Finance Lead,Finance Manager,131840.0,186440.0
100207,2020-03-26,Hire,,Sales,,G1,,Sales Representative I,,40763.0
100207,2023-07-05,Promotion,Sales,Sales,G1,G2,Sales Representative I,Sales Representative II,40763.0,72199.0
100208,2025-03-16,Hire,,Operations,,G4,,Senior Operations Analyst,,101989.0
100208,2026-01-25,Transfer,IT,Operations,G4,G4,Senior Software Engineer,Senior Operations Analyst,108025.0,108025.0
100209,2024-08-28,Hire,,Sales,,G6,,Sales Manager,,164771.0
100210,2024-08-10,Hire,,Operations,,G4,,Senior Operations Analyst,,123173.0
100211,2019-05-16,Hire,,Customer Support,,G2,,Support Representative II,,74669.0
100211,2022-11-02,Termination,Customer Support,,G3,,Senior Support Representative,,87888.0,
100211,2025-10-17,Promotion,Customer Support,Customer Support,G2,G3,Support Representative II,Senior Support Representative,74669.0,88402.0
100212,2024-06-16,Hire,,Sales,,G3,,Senior Sales Representative,,86284.0
100213,2022-08-19,Hire,,Operations,,G1,,Operations Coordinator I,,47641.0
100213,2025-10-26,Promotion,Operations,Operations,G1,G2,Operations Coordinator I,Operations Coordinator II,47641.0,60056.0
100214,2025-09-01,Hire,,Marketing,,G6,,Marketing Manager,,155520.0
100215,2021-11-24,Hire,,Customer Support,,G4,,Support Specialist,,99604.0
100216,2017-06-17,Hire,,IT,,G4,,Senior Software Engineer,,96607.0
100216,2017-08-31,Transfer,HR,IT,G4,G4,Senior HR Specialist,Senior Software Engineer,106678.0,106678.0
100217,2017-06-26,Hire,,Operations,,G1,,Operations Coordinator I,,53541.0
100218,2024-12-13,Hire,,Finance,,G4,,Finance Lead,,96361.0
100218,2025-01-28,Transfer,Sales,Finance,G4,G4,Sales Specialist,Finance Lead,115284.0,115284.0
100219,2025-05-31,Hire,,Customer Support,,G1,,Support Representative I,,48667.0
100220,2024-11-14,Hire,,IT,,G2,,Software Engineer I,,76870.0
100220,2025-04-24,Transfer,Finance,IT,G2,G2,Finance Analyst II,Software Engineer I,79323.0,79323.0
100221,2018-01-16,Hire,,Marketing,,G1,,Marketing Coordinator I,,42558.0
100221,2019-12-23,Promotion,Marketing,Marketing,G1,G2,Marketing Coordinator I,Marketing Coordinator II,42558.0,78108.0
100222,2017-09-16,Hire,,Finance,,G3,,Senior Finance Analyst,,78524.0
100222,2017-12-12,Termination,Finance,,G4,,Finance Lead,,107243.0,
100223,2019-06-14,Hire,,HR,,G2,,HR Coordinator II,,62140.0
100223,2020-09-05,Promotion,HR,HR,G2,G3,HR Coordinator II,HR Specialist,62140.0,89901.0
100224,2022-10-31,Hire,,Marketing,,G3,,Marketing Specialist,,76542.0
100224,2025-02-04,Transfer,HR,Marketing,G3,G3,HR Specialist,Marketing Specialist,79112.0,79112.0
100224,2025-07-30,Termination,Marketing,,G3,,Marketing Specialist,,79112.0,
100225,2025-03-11,Hire,,Customer Support,,G1,,Support Representative I,,50014.0
100226,2022-01-13,Hire,,HR,,G7,,HR Director,,206254.0
100227,2019-03-25,Hire,,IT,,G8,,VP of Engineering,,245423.0
100228,2026-04-25,Hire,,Sales,,G1,,Sales Representative I,,57897.0
100229,2025-08-05,Hire,,Finance,,G3,,Senior Finance Analyst,,78124.0
100230,2020-09-27,Hire,,Marketing,,G3,,Marketing Specialist,,75824.0
100230,2025-01-26,Transfer,Customer Support,Marketing,G4,G4,Support Specialist,Senior Marketing Specialist,115344.0,115344.0
100231,2019-08-31,Hire,,Customer Support,,G8,,VP of Customer Success,,244764.0
100232,2021-11-19,Hire,,Sales,,G5,,Senior Sales Specialist,,146066.0
100233,2026-04-16,Hire,,IT,,G3,,Software Engineer II,,79674.0
100233,2026-05-09,Transfer,HR,IT,G3,G3,HR Specialist,Software Engineer II,87791.0,87791.0
100234,2020-12-14,Hire,,IT,,G5,,Staff Engineer,,127422.0
100235,2017-12-20,Hire,,IT,,G3,,Software Engineer II,,76214.0
100236,2022-11-20,Hire,,HR,,G1,,HR Coordinator I,,52071.0
100236,2024-05-01,Promotion,HR,HR,G1,G2,HR Coordinator I,HR Coordinator II,52071.0,58136.0
100237,2016-08-17,Hire,,Operations,,G5,,Operations Lead,,134597.0
100238,2017-11-09,Hire,,Finance,,G6,,Finance Manager,,166881.0
