employee_id,annual_salary,annual_bonus_target
100485,343509,42953.97
100486,124204,17042.49
100487,49596,4111.41
100488,79355,11152.33
100489,103506,16464.67
100490,78323,14922.73
100491,261942,39851.22
100492,229894,20580.34
100493,45263,7699.22
100494,70300,13916.06
100495,127892,12501.8
100496,113756,7513.43
100497,159651,13912.4
100498,103209,9138.42
100499,146346,12568.7
100500,219414,12830.75
100501,160947,19664.22
100502,103888,8777.26
100503,126892,17510.71
100504,58424,8646.37
100505,138418,20022.87
100506,118057,12652.41
100507,64894,10207.18
100508,55565,6542.55
100509,135315,25928.28
100510,192180,22202.36
100511,105051,6750.42
100512,178123,19953.31
100513,200955,11125.86
100514,184374,27523.67
100515,101884,18937.95
100516,165559,17791.04
100517,93125,10399.49
100518,201882,23403.41
100519,51938,3623.28
100520,244023,42242.91
100521,131735,11101.41
100522,107213,13305.32
100523,40390,7549.62
100524,126017,19494.65
100525,185990,32638.06
100526,132634,16492.78
100527,104377,14158.61
100528,86084,12845.21
100529,122114,9708.46
100530,72273,6756.23
100531,72129,3706.0
100532,75427,8322.71
100533,125731,24639.72
100534,183873,21054.98
100535,150411,15594.04
100536,79710,11155.87
100537,77591,4251.92
100538,63232,6279.96
100539,146392,19079.02
100540,60229,3151.01
100541,73799,7974.54
100542,263555,28541.65
100543,144333,8386.78
100544,128466,8231.24
100545,96115,12939.89
100546,82372,14283.07
100547,104422,11393.75
100548,78406,9586.74
100549,99925,7251.99
100550,253464,23137.57
100551,103834,12068.64
100552,114814,17900.5
100553,56995,5052.85
100554,131659,14639.74
100555,83498,13965.3
100556,160798,27411.23
100557,103107,5846.08
100558,143268,9964.68
100559,84624,14526.82
100560,78131,9675.15
100561,75714,11385.69
100562,73570,9610.01
100563,188414,9487.04
100564,168407,27845.6
100565,40537,2764.21
100566,40234,5895.75
100567,64696,7468.29
100568,240526,18464.6
100569,127848,11391.25
100570,70217,12605.62
100571,77670,4990.77
100572,133029,21181.88
100573,129262,18033.14
100574,79439,4417.04
100575,75672,5167.14
100576,183798,18877.31
100577,128212,13321.34
100578,103655,5934.11
100579,160055,23392.18
100580,250520,20399.89
100581,84104,9016.9
100582,118212,16991.98
100583,141877,23901.2
100584,112810,10359.43
100585,57723,4370.19
100586,59761,8393.56
100587,171375,28741.05
100588,125565,16257.07
100589,59190,10342.63
100590,204629,17722.84
100591,83381,15161.35
100592,92139,18177.72
100593,133492,9247.97
100594,75534,6891.3
100595,79765,11216.52
100596,82378,15179.38
100597,102130,6399.28
100598,130789,6910.78
100599,72529,9242.89
100600,132548,13626.26
100601,93248,15257.27
100602,57409,5200.01
100603,76461,6120.78
100604,190036,30988.62
100605,164322,13631.89
100606,123991,20743.73
100607,102358,17999.21
100608,97588,16475.63
100609,142502,21121.13
100610,162637,30412.3
100611,61922,6020.44
100612,98970,8058.92
100613,122843,11529.88
100614,109547,17562.08
100615,103113,15785.82
100616,117748,23391.64
100617,59087,7992.75
100618,102607,6091.48
100619,167563,14846.89
100620,78639,11882.44
100621,154176,23269.51
100622,57648,8388.01
100623,77722,9973.21
100624,103799,17213.62
100625,51141,7295.73
100626,240825,38156.68
100627,96737,12061.21
100628,73050,7339.27
100629,252409,28162.72
100630,117689,20469.95
100631,48252,8033.17
100632,62238,10637.38
100633,103523,15148.67
100634,88801,15014.86
100635,83664,14152.4
100636,155493,25902.12
100637,61999,11052.34
100638,168833,21951.97
100639,124958,24611.75
100640,55551,10628.22
100641,126806,8285.46
100642,80664,5252.27
100643,109126,9898.63
100644,53767,8422.5
100645,56525,3905.7
100646,126055,23540.24
100647,70678,12029.8
100648,181624,18844.29
100649,80255,6835.53
100650,91344,9058.19
100651,161163,14273.85
100652,74194,14149.4
100653,77455,4045.35
100654,78514,6729.65
100655,65767,7718.97
100656,79857,6878.22
100657,128146,14381.44
100658,239945,14486.95
100659,59414,10396.9
100660,95437,12719.27
100661,58963,8123.88
100662,63974,12132.92
100663,71056,6897.22
100664,159027,13051.37
100665,116448,17753.71
100666,218207,28273.29
100667,67150,10707.19
100668,79649,6726.78
100669,343157,61562.8
100670,123879,10474.15
100671,84436,16584.22
100672,61474,6026.17
100673,128538,8027.95
100674,111059,12895.42
100675,150395,25933.24
100676,71121,11695.77
100677,132512,7568.07
100678,59931,11182.91
100679,117409,9367.06
100680,130113,10359.73
100681,114249,14274.59
100682,42575,7151.43
100683,81185,12137.51
100684,206661,20594.27
100685,157833,25200.48
100686,107175,14923.37
100687,61255,5727.23
100688,116076,7857.28
100689,69440,3772.36
100690,147462,7378.47
100691,100004,8934.93
100692,118416,21327.1
100693,94762,12132.14
100694,117731,16633.71
100695,88828,10774.35
100696,138311,9686.12
100697,89588,17431.37
100698,197645,21863.94
100699,76711,5219.47
100700,77076,11309.24
100701,61461,11839.92
100702,130497,8764.93
100703,97394,18325.7
100704,96310,10101.76
100705,85426,11116.75
100706,158402,30326.55
100707,50057,9034.76
100708,116061,12806.66
100709,68071,9244.6
100710,202306,13958.79
100711,57629,6020.98
100712,66102,10102.42
100713,91226,18063.16
100714,81976,14133.07
100715,195721,15625.14
100716,62058,5881.09
100717,127939,23855.38
100718,41031,3270.36
100719,65730,3684.09
100720,153351,11185.65
100721,116586,9743.41
100722,84609,7895.84
100723,218064,28028.04
100724,83720,15941.86
100725,109457,10896.02
100726,56158,10165.09
100727,45392,7003.05
100728,57617,4672.3
100729,94184,9664.28
100730,170052,15889.22
100731,78767,10637.63
100732,76381,3851.61
100733,177304,33783.93
100734,228412,25339.43
100735,120965,13945.4
100736,92920,5461.88
100737,343457,62248.46
100738,103287,7860.3
100739,132991,25132.93
100740,219084,29285.29
100741,99976,10502.45
100742,127329,17116.14
100743,129846,12240.11
100744,139633,26433.84
100745,102132,8056.91
100746,190590,16653.86
100747,158038,16196.42
100748,103930,14264.15
100749,103250,7110.86
100750,153757,17452.65
100751,168491,13554.94
100752,87436,11280.46
100753,131908,18277.69
100754,79861,9297.0
100755,86572,13454.22
100756,47236,3082.77
100757,57493,4191.17
100758,102216,10140.9
100759,197351,10590.65
100760,94340,11131.11
100761,65638,9872.73
100762,86556,12998.2
100763,127642,23866.62
100764,58099,9797.09
100765,119059,18742.54
100766,51199,9163.5
100767,103071,7946.71
100768,101246,14382.62
100769,72535,5913.52
100770,126357,9795.03
100771,90929,16842.4
100772,105686,14743.06
100773,113891,11931.69
100774,154928,23921.61
100775,104877,18072.74
100776,169026,10217.09
100777,188481,34464.75
100778,78395,12647.48
100779,76746,4224.67
100780,72168,7917.77
100781,89688,6896.51
100782,62127,12201.93
100783,147159,23315.81
100784,157693,21788.33
100785,103810,7176.93
100786,70932,3737.67
100787,162692,30037.71
100788,62252,12165.03
100789,106825,17912.47
100790,149151,11694.05
100791,73171,12893.9
100792,110202,21315.26
100793,63065,5118.71
100794,80932,13616.1
100795,133328,16940.07
100796,245637,20198.29
100797,100067,13802.36
100798,57045,4380.73
100799,102887,11602.3
100800,134618,19178.91
100801,123026,11146.3
100802,202756,36301.03
100803,57169,10832.31
100804,123546,22243.36
100805,132338,10028.71
100806,111958,13910.49
100807,236566,18380.63
100808,71455,9398.54
100809,59364,3547.01
100810,49551,7712.06
100811,54179,10052.52
100812,65222,10543.48
100813,178949,12348.72
100814,162564,19405.02
100815,163775,12364.76
100816,69864,8341.26
100817,65457,11339.55
100818,110066,5943.73
100819,76209,14876.83
100820,68342,3879.32
100821,175101,9617.22
100822,231798,14999.34
100823,184492,32194.76
100824,137970,24161.42
100825,90945,12028.4
100826,51019,8928.66
100827,209346,19320.42
100828,149756,18056.23
100829,150146,11077.84
100830,64919,11457.91
100831,95591,11280.27
100832,97260,15132.39
100833,125347,14678.12
100834,277211,49744.31
100835,131869,7836.79
100836,103979,15948.99
100837,79248,12801.06
100838,107386,12920.99
100839,104225,9547.22
100840,106159,14472.14
100841,50482,6423.29
100842,56068,7741.3
100843,100974,17961.34
100844,116213,15614.0
100845,114477,22475.17
100846,211695,19840.61
100847,72771,4623.09
100848,242358,39990.47
100849,297623,57704.73
100850,85979,6563.64
100851,102759,15990.91
100852,49895,5862.01
100853,98447,16842.48
100854,92732,11578.09
100855,80289,14251.15
100856,258812,33841.64
100857,118092,7082.09
100858,98621,12672.19
100859,76699,15117.16
100860,124486,20647.45
100861,129923,25112.35
100862,170611,16673.49
100863,64066,10513.6
100864,58807,7984.48
100865,88965,12860.75
100866,212553,10995.13
100867,75634,12668.51
100868,113298,22419.27
100869,225999,40843.91
100870,128838,20216.37
100871,80044,4771.14
100872,126655,15778.73
100873,101683,8847.65
100874,104058,10413.32
100875,253230,36998.56
100876,98822,6005.63
100877,45914,3720.21
100878,98688,12971.45
100879,64916,8968.37
100880,60037,11871.94
100881,262703,17764.34
100882,40081,6053.33
100883,78383,11399.46
100884,102410,11903.33
100885,129248,24141.05
100886,131366,19235.27
100887,75567,14623.89
100888,70367,11359.68
100889,130367,11805.71
100890,43853,8741.68
100891,56501,3681.79
100892,82550,10568.64
100893,134759,26225.2
100894,79406,6592.24
100895,126041,7356.06
100896,185099,14005.58
100897,134143,21219.9
100898,200785,25777.97
100899,98065,14518.37
100900,171924,8674.1
100901,75076,4997.17
100902,141407,26841.89
100903,148052,8192.8
100904,80988,5160.75
100905,99036,5219.76
100906,109713,8467.95
100907,157419,26743.24
100908,161263,30828.7
100909,107961,21499.7
100910,300692,21317.41
100911,232432,22642.53
100912,79075,10526.41
100913,172502,15886.63
100914,98017,14679.81
100915,179762,30208.16
100916,55784,7777.82
100917,90765,17720.16
100918,199552,15530.91
100919,59746,9373.56
100920,199070,19488.46
100921,117063,13122.2
100922,163164,30755.59
100923,68203,7057.07
100924,125898,15532.05
100925,47636,7107.48
100926,72862,9516.69
100927,150544,19493.08
100928,127670,18293.47
100929,68336,12740.11
100930,91116,9886.31
100931,96034,16143.54
100932,75910,5806.85
100933,184069,33709.38
100934,190361,34591.88
100935,101519,17516.46
100936,98013,16724.86
100937,182370,25390.45
100938,132971,16893.3
100939,79206,8399.6
100940,45340,2917.79
100941,88454,17155.12
100942,103554,15246.4
100943,47444,3561.07
100944,200537,30468.14
100945,78598,8134.36
100946,84923,14080.64
100947,95051,17547.64
100948,167468,25551.67
100949,78402,7362.83
100950,131724,24745.11
100951,155916,15153.04
100952,89590,8167.19
100953,108864,11775.24
100954,62043,4950.88
100955,81125,14534.31
100956,155868,14059.56
100957,118284,8980.48
100958,190268,17903.12
100959,154265,25494.32
100960,78880,5197.19
100961,76502,9144.45
100962,165302,11684.25
100963,152425,25061.7
100964,126860,16579.07
100965,75738,13413.45
100966,64474,10349.42
100967,157599,29327.04
100968,50170,2573.74
100969,71714,9283.14
100970,47232,7004.86
100971,77297,9628.38
100972,45913,8226.91
100973,102913,18720.86
100974,84432,9389.09
100975,235454,14581.19
100976,79791,11652.49
100977,63851,6732.86
100978,213126,39780.47
100979,149509,16322.3
100980,217109,42064.68
100981,117554,14896.7
100982,118804,23689.75
100983,79795,10004.87
100984,101482,14762.01
100985,117075,16469.33
100986,84180,8571.14
100987,77425,7163.3
100988,54610,6557.91
100989,167521,13941.77
100990,81560,10715.53
100991,76740,7165.9
100992,65858,8782.54
100993,205186,24325.54
100994,120230,22010.02
100995,48954,5228.11
100996,146516,19490.08
100997,149673,14353.66
100998,181415,11550.8
100999,217195,24143.59
