employee_id,pay_period,gross_pay,tax,benefit_deduction,retirement,net_pay
100065,2025-01-01,10849.25,2386.84,400,542.46,7519.95
100066,2025-01-01,8195.33,1802.97,220,409.77,5762.59
100067,2025-01-01,25359.33,5579.05,100,1267.97,18412.31
100068,2025-01-01,8850.25,1947.06,400,442.51,6060.68
100069,2025-01-01,20471.5,4503.73,220,1023.58,14724.19
100070,2025-01-01,7272.75,1600.0,220,363.64,5089.11
100071,2025-01-01,7075.92,1556.7,220,353.8,4945.42
100072,2025-01-01,6385.83,1404.88,220,319.29,4441.66
100073,2025-01-01,4624.5,1017.39,220,231.23,3155.88
100074,2025-01-01,20233.83,4451.44,100,1011.69,14670.7
100075,2025-01-01,12591.25,2770.08,100,629.56,9091.61
100076,2025-01-01,14262.17,3137.68,100,713.11,10311.38
100077,2025-01-01,8274.75,1820.44,220,413.74,5820.57
100078,2025-01-01,11562.5,2543.75,100,578.12,8340.63
100079,2025-01-01,13864.58,3050.21,220,693.23,9901.14
100080,2025-01-01,11813.58,2598.99,400,590.68,8223.91
100081,2025-01-01,11359.75,2499.14,220,567.99,8072.62
100082,2025-01-01,10091.17,2220.06,220,504.56,7146.55
100083,2025-01-01,11192.0,2462.24,220,559.6,7950.16
100084,2025-01-01,8606.92,1893.52,400,430.35,5883.05
100085,2025-01-01,12398.58,2727.69,220,619.93,8830.96
100086,2025-01-01,6225.5,1369.61,220,311.28,4324.61
100087,2025-01-01,4980.5,1095.71,100,249.02,3535.77
100088,2025-01-01,6987.58,1537.27,400,349.38,4700.93
100089,2025-01-01,11189.25,2461.64,220,559.46,7948.15
100090,2025-01-01,9169.0,2017.18,220,458.45,6473.37
100091,2025-01-01,5232.17,1151.08,220,261.61,3599.48
100092,2025-01-01,9098.67,2001.71,220,454.93,6422.03
100093,2025-01-01,11045.08,2429.92,220,552.25,7842.91
100094,2025-01-01,10212.08,2246.66,220,510.6,7234.82
100095,2025-01-01,6615.33,1455.37,220,330.77,4609.19
100096,2025-01-01,22431.67,4934.97,220,1121.58,16155.12
100097,2025-01-01,5361.75,1179.58,100,268.09,3814.08
100098,2025-01-01,5013.75,1103.03,220,250.69,3440.03
100099,2025-01-01,14099.08,3101.8,220,704.95,10072.33
100100,2025-01-01,6899.17,1517.82,220,344.96,4816.39
100101,2025-01-01,6337.17,1394.18,100,316.86,4526.13
100102,2025-01-01,15844.33,3485.75,220,792.22,11346.36
100103,2025-01-01,7179.0,1579.38,220,358.95,5020.67
100104,2025-01-01,6942.67,1527.39,220,347.13,4848.15
100105,2025-01-01,7678.17,1689.2,220,383.91,5385.06
100106,2025-01-01,9912.83,2180.82,220,495.64,7016.37
100107,2025-01-01,6290.25,1383.86,400,314.51,4191.88
100108,2025-01-01,13683.33,3010.33,220,684.17,9768.83
100109,2025-01-01,12736.5,2802.03,400,636.83,8897.64
100110,2025-01-01,11235.83,2471.88,220,561.79,7982.16
100111,2025-01-01,6020.75,1324.56,220,301.04,4175.15
100112,2025-01-01,10252.42,2255.53,100,512.62,7384.27
100113,2025-01-01,5547.42,1220.43,220,277.37,3829.62
100114,2025-01-01,6158.92,1354.96,220,307.95,4276.01
100115,2025-01-01,7412.92,1630.84,100,370.65,5311.43
100116,2025-01-01,5511.42,1212.51,400,275.57,3623.34
100117,2025-01-01,11638.5,2560.47,400,581.93,8096.1
100118,2025-01-01,13473.58,2964.19,400,673.68,9435.71
100119,2025-01-01,10842.58,2385.37,400,542.13,7515.08
100120,2025-01-01,3626.75,797.88,400,181.34,2247.53
100121,2025-01-01,9991.58,2198.15,220,499.58,7073.85
100122,2025-01-01,7174.17,1578.32,400,358.71,4837.14
100123,2025-01-01,10188.17,2241.4,220,509.41,7217.36
100124,2025-01-01,13090.42,2879.89,100,654.52,9456.01
100125,2025-01-01,12617.0,2775.74,220,630.85,8990.41
100126,2025-01-01,5802.25,1276.5,220,290.11,4015.64
100127,2025-01-01,24883.33,5474.33,220,1244.17,17944.83
100128,2025-01-01,11485.67,2526.85,220,574.28,8164.54
100129,2025-01-01,16620.58,3656.53,220,831.03,11913.02
100130,2025-01-01,10650.5,2343.11,100,532.52,7674.87
100131,2025-01-01,12188.33,2681.43,400,609.42,8497.48
100132,2025-01-01,8807.42,1937.63,100,440.37,6329.42
100133,2025-01-01,8224.17,1809.32,220,411.21,5783.64
100134,2025-01-01,9710.08,2136.22,400,485.5,6688.36
100135,2025-01-01,5623.58,1237.19,220,281.18,3885.21
100136,2025-01-01,9885.58,2174.83,100,494.28,7116.47
100137,2025-01-01,6642.17,1461.28,220,332.11,4628.78
100138,2025-01-01,9703.42,2134.75,220,485.17,6863.5
100139,2025-01-01,9788.75,2153.52,220,489.44,6925.79
100140,2025-01-01,11189.42,2461.67,100,559.47,8068.28
100141,2025-01-01,6573.5,1446.17,100,328.68,4698.65
100142,2025-01-01,7089.17,1559.62,220,354.46,4955.09
100143,2025-01-01,17295.17,3804.94,100,864.76,12525.47
100144,2025-01-01,10867.0,2390.74,220,543.35,7712.91
100145,2025-01-01,9740.58,2142.93,400,487.03,6710.62
100146,2025-01-01,12071.67,2655.77,220,603.58,8592.32
100147,2025-01-01,10728.33,2360.23,220,536.42,7611.68
100148,2025-01-01,4675.5,1028.61,220,233.78,3193.11
100149,2025-01-01,6624.33,1457.35,400,331.22,4435.76
100150,2025-01-01,7566.0,1664.52,220,378.3,5303.18
100151,2025-01-01,13035.0,2867.7,220,651.75,9295.55
100152,2025-01-01,4213.25,926.92,400,210.66,2675.67
100153,2025-01-01,17165.0,3776.3,220,858.25,12310.45
100154,2025-01-01,12042.0,2649.24,100,602.1,8690.66
100155,2025-01-01,26594.08,5850.7,220,1329.7,19193.68
100156,2025-01-01,4922.33,1082.91,100,246.12,3493.3
100157,2025-01-01,14777.75,3251.1,220,738.89,10567.76
100158,2025-01-01,4814.92,1059.28,220,240.75,3294.89
100159,2025-01-01,6305.08,1387.12,100,315.25,4502.71
100160,2025-01-01,4529.67,996.53,220,226.48,3086.66
100161,2025-01-01,10729.58,2360.51,400,536.48,7432.59
100162,2025-01-01,4886.92,1075.12,100,244.35,3467.45
100163,2025-01-01,10518.58,2314.09,100,525.93,7578.56
100164,2025-01-01,7410.08,1630.22,100,370.5,5309.36
100165,2025-01-01,17980.5,3955.71,100,899.03,13025.76
100166,2025-01-01,6128.33,1348.23,400,306.42,4073.68
100167,2025-01-01,21215.0,4667.3,400,1060.75,15086.95
100168,2025-01-01,12080.5,2657.71,220,604.02,8598.77
100169,2025-01-01,13241.08,2913.04,100,662.05,9565.99
100170,2025-01-01,8979.83,1975.56,220,448.99,6335.28
100171,2025-01-01,11078.92,2437.36,220,553.95,7867.61
100172,2025-01-01,11799.42,2595.87,220,589.97,8393.58
100173,2025-01-01,10475.67,2304.65,400,523.78,7247.24
100174,2025-01-01,8310.17,1828.24,100,415.51,5966.42
100175,2025-01-01,7168.75,1577.12,220,358.44,5013.19
100176,2025-01-01,4793.08,1054.48,220,239.65,3278.95
100177,2025-01-01,16630.83,3658.78,100,831.54,12040.51
100178,2025-01-01,17156.42,3774.41,100,857.82,12424.19
100179,2025-01-01,8723.08,1919.08,220,436.15,6147.85
100180,2025-01-01,7909.92,1740.18,220,395.5,5554.24
100181,2025-01-01,10787.58,2373.27,100,539.38,7774.93
100182,2025-01-01,4980.92,1095.8,100,249.05,3536.07
100183,2025-01-01,5173.67,1138.21,220,258.68,3556.78
100184,2025-01-01,8419.25,1852.24,100,420.96,6046.05
100185,2025-01-01,11150.67,2453.15,220,557.53,7919.99
100186,2025-01-01,14135.75,3109.86,400,706.79,9919.1
100187,2025-01-01,10739.92,2362.78,220,537.0,7620.14
100188,2025-01-01,5284.0,1162.48,220,264.2,3637.32
100189,2025-01-01,12496.33,2749.19,220,624.82,8902.32
100190,2025-01-01,5142.33,1131.31,100,257.12,3653.9
100191,2025-01-01,5829.0,1282.38,220,291.45,4035.17
100192,2025-01-01,13129.25,2888.44,100,656.46,9484.35
100193,2025-01-01,8492.0,1868.24,100,424.6,6099.16
100194,2025-01-01,6874.08,1512.3,220,343.7,4798.08
100195,2025-01-01,9682.17,2130.08,220,484.11,6847.98
100196,2025-01-01,8254.67,1816.03,400,412.73,5625.91
100197,2025-01-01,16409.92,3610.18,220,820.5,11759.24
100198,2025-01-01,4492.75,988.4,100,224.64,3179.71
100200,2025-01-01,8730.58,1920.73,400,436.53,5973.32
100201,2025-01-01,7621.5,1676.73,220,381.08,5343.69
100202,2025-01-01,6097.0,1341.34,220,304.85,4230.81
100203,2025-01-01,13706.08,3015.34,100,685.3,9905.44
100204,2025-01-01,8434.67,1855.63,220,421.73,5937.31
100205,2025-01-01,17564.17,3864.12,100,878.21,12721.84
100206,2025-01-01,14218.25,3128.02,100,710.91,10279.32
100207,2025-01-01,5369.08,1181.2,400,268.45,3519.43
100208,2025-01-01,9195.08,2022.92,220,459.75,6492.41
100209,2025-01-01,14107.58,3103.67,220,705.38,10078.53
100210,2025-01-01,11403.92,2508.86,220,570.2,8104.86
100212,2025-01-01,7978.17,1755.2,100,398.91,5724.06
100213,2025-01-01,5757.5,1266.65,220,287.88,3982.97
100214,2025-01-01,13163.33,2895.93,100,658.17,9509.23
100215,2025-01-01,10196.17,2243.16,400,509.81,7043.2
100216,2025-01-01,9246.83,2034.3,220,462.34,6530.19
100217,2025-01-01,5468.33,1203.03,220,273.42,3771.88
100218,2025-01-01,9826.0,2161.72,220,491.3,6952.98
100219,2025-01-01,5735.75,1261.86,400,286.79,3787.1
100220,2025-01-01,6837.25,1504.2,220,341.86,4771.19
100221,2025-01-01,6345.33,1395.97,220,317.27,4412.09
100223,2025-01-01,6987.75,1537.3,220,349.39,4881.06
100224,2025-01-01,6603.67,1452.81,220,330.18,4600.68
100225,2025-01-01,4771.0,1049.62,400,238.55,3082.83
100226,2025-01-01,23360.17,5139.24,220,1168.01,16832.92
100227,2025-01-01,24407.17,5369.58,220,1220.36,17597.23
100228,2025-01-01,5472.33,1203.91,400,273.62,3594.8
100229,2025-01-01,8136.92,1790.12,220,406.85,5719.95
100230,2025-01-01,9812.0,2158.64,220,490.6,6942.76
100231,2025-01-01,21767.75,4788.9,400,1088.39,15490.46
100232,2025-01-01,13921.08,3062.64,100,696.05,10062.39
100233,2025-01-01,7573.92,1666.26,400,378.7,5128.96
100234,2025-01-01,11189.25,2461.64,220,559.46,7948.15
100235,2025-01-01,10348.0,2276.56,100,517.4,7454.04
100236,2025-01-01,6819.25,1500.24,220,340.96,4758.05
100237,2025-01-01,16046.0,3530.12,100,802.3,11613.58
100238,2025-01-01,18472.5,4063.95,220,923.62,13264.93
100239,2025-01-01,6363.5,1399.97,220,318.18,4425.35
100240,2025-01-01,8622.92,1897.04,100,431.15,6194.73
100241,2025-01-01,11140.08,2450.82,220,557.0,7912.26
100242,2025-01-01,6581.67,1447.97,220,329.08,4584.62
100243,2025-01-01,17283.58,3802.39,400,864.18,12217.01
100244,2025-01-01,5662.67,1245.79,100,283.13,4033.75
100245,2025-01-01,6138.0,1350.36,400,306.9,4080.74
100246,2025-01-01,5622.42,1236.93,220,281.12,3884.37
100247,2025-01-01,11144.75,2451.84,400,557.24,7735.67
100248,2025-01-01,13882.75,3054.2,220,694.14,9914.41
100249,2025-01-01,12147.17,2672.38,220,607.36,8647.43
100250,2025-01-01,5918.58,1302.09,220,295.93,4100.56
100251,2025-01-01,4789.08,1053.6,220,239.45,3276.03
100252,2025-01-01,6256.83,1376.5,220,312.84,4347.49
100253,2025-01-01,7404.42,1628.97,220,370.22,5185.23
100254,2025-01-01,11825.25,2601.55,400,591.26,8232.44
100255,2025-01-01,10044.25,2209.74,220,502.21,7112.3
100256,2025-01-01,5254.08,1155.9,220,262.7,3615.48
100257,2025-01-01,4150.33,913.07,400,207.52,2629.74
100258,2025-01-01,7705.83,1695.28,100,385.29,5525.26
100259,2025-01-01,13086.75,2879.08,400,654.34,9153.33
100260,2025-01-01,7069.0,1555.18,220,353.45,4940.37
100261,2025-01-01,11473.83,2524.24,100,573.69,8275.9
100262,2025-01-01,5910.08,1300.22,100,295.5,4214.36
100263,2025-01-01,6984.33,1536.55,400,349.22,4698.56
100264,2025-01-01,10548.42,2320.65,100,527.42,7600.35
100265,2025-01-01,17587.0,3869.14,100,879.35,12738.51
100266,2025-01-01,20390.0,4485.8,400,1019.5,14484.7
100267,2025-01-01,20667.25,4546.8,220,1033.36,14867.09
100268,2025-01-01,10092.5,2220.35,220,504.62,7147.53
100269,2025-01-01,6279.92,1381.58,220,314.0,4364.34
100270,2025-01-01,6847.25,1506.4,100,342.36,4898.49
100271,2025-01-01,11609.0,2553.98,220,580.45,8254.57
100272,2025-01-01,4367.0,960.74,220,218.35,2967.91
100273,2025-01-01,21476.0,4724.72,220,1073.8,15457.48
100274,2025-01-01,11154.17,2453.92,220,557.71,7922.54
100275,2025-01-01,8043.5,1769.57,220,402.18,5651.75
100276,2025-01-01,5293.5,1164.57,100,264.68,3764.25
100277,2025-01-01,5345.75,1176.06,220,267.29,3682.4
100278,2025-01-01,5177.33,1139.01,400,258.87,3379.45
100280,2025-01-01,7392.58,1626.37,400,369.63,4996.58
100281,2025-01-01,7769.75,1709.34,220,388.49,5451.92
100282,2025-01-01,5077.08,1116.96,220,253.85,3486.27
100283,2025-01-01,20135.67,4429.85,220,1006.78,14479.04
100284,2025-01-01,10791.17,2374.06,100,539.56,7777.55
100285,2025-01-01,7015.67,1543.45,100,350.78,5021.44
100286,2025-01-01,11615.0,2555.3,100,580.75,8378.95
100287,2025-01-01,8961.33,1971.49,220,448.07,6321.77
100288,2025-01-01,7182.75,1580.2,220,359.14,5023.41
100289,2025-01-01,11356.92,2498.52,400,567.85,7890.55
100290,2025-01-01,9576.83,2106.9,100,478.84,6891.09
100291,2025-01-01,8233.83,1811.44,220,411.69,5790.7
100292,2025-01-01,11560.33,2543.27,220,578.02,8219.04
100293,2025-01-01,8235.42,1811.79,100,411.77,5911.86
100294,2025-01-01,11484.5,2526.59,220,574.22,8163.69
100295,2025-01-01,5222.58,1148.97,100,261.13,3712.48
100296,2025-01-01,15680.08,3449.62,400,784.0,11046.46
100297,2025-01-01,3832.17,843.08,400,191.61,2397.48
100299,2025-01-01,11468.33,2523.03,400,573.42,7971.88
100300,2025-01-01,8682.83,1910.22,220,434.14,6118.47
100301,2025-01-01,28888.33,6355.43,100,1444.42,20988.48
100302,2025-01-01,8195.33,1802.97,100,409.77,5882.59
100303,2025-01-01,14017.42,3083.83,400,700.87,9832.72
100304,2025-01-01,10768.83,2369.14,220,538.44,7641.25
100306,2025-01-01,8287.5,1823.25,100,414.38,5949.87
100307,2025-01-01,5857.0,1288.54,220,292.85,4055.61
100309,2025-01-01,12384.5,2724.59,400,619.22,8640.69
100310,2025-01-01,5762.17,1267.68,400,288.11,3806.38
100311,2025-01-01,5814.67,1279.23,220,290.73,4024.71
100312,2025-01-01,12352.92,2717.64,220,617.65,8797.63
100314,2025-01-01,8748.0,1924.56,400,437.4,5986.04
100315,2025-01-01,18361.92,4039.62,400,918.1,13004.2
100316,2025-01-01,14513.58,3192.99,400,725.68,10194.91
100317,2025-01-01,8078.0,1777.16,220,403.9,5676.94
100319,2025-01-01,8689.75,1911.74,100,434.49,6243.52
100320,2025-01-01,10709.75,2356.14,220,535.49,7598.12
100321,2025-01-01,16101.0,3542.22,100,805.05,11653.73
100323,2025-01-01,8807.5,1937.65,220,440.38,6209.47
100324,2025-01-01,9785.42,2152.79,100,489.27,7043.36
100325,2025-01-01,5204.75,1145.04,220,260.24,3579.47
100327,2025-01-01,5226.42,1149.81,100,261.32,3715.29
100328,2025-01-01,3716.25,817.58,400,185.81,2312.86
100329,2025-01-01,8152.17,1793.48,100,407.61,5851.08
100330,2025-01-01,9072.75,1996.0,220,453.64,6403.11
100331,2025-01-01,21178.17,4659.2,220,1058.91,15240.06
100332,2025-01-01,13879.75,3053.54,220,693.99,9912.22
100333,2025-01-01,10507.42,2311.63,100,525.37,7570.42
100334,2025-01-01,10982.17,2416.08,220,549.11,7796.98
100335,2025-01-01,14776.17,3250.76,400,738.81,10386.6
100336,2025-01-01,12362.58,2719.77,220,618.13,8804.68
100337,2025-01-01,4960.67,1091.35,100,248.03,3521.29
100338,2025-01-01,6650.58,1463.13,100,332.53,4754.92
100339,2025-01-01,7622.33,1676.91,220,381.12,5344.3
100340,2025-01-01,6979.33,1535.45,400,348.97,4694.91
100341,2025-01-01,19401.17,4268.26,220,970.06,13942.85
100342,2025-01-01,8045.08,1769.92,220,402.25,5652.91
100343,2025-01-01,5040.67,1108.95,220,252.03,3459.69
100344,2025-01-01,4956.0,1090.32,100,247.8,3517.88
100345,2025-01-01,11217.08,2467.76,220,560.85,7968.47
100346,2025-01-01,24115.17,5305.34,100,1205.76,17504.07
100347,2025-01-01,9055.42,1992.19,400,452.77,6210.46
100349,2025-01-01,17488.83,3847.54,220,874.44,12546.85
100350,2025-01-01,8070.33,1775.47,220,403.52,5671.34
100351,2025-01-01,5388.0,1185.36,220,269.4,3713.24
100352,2025-01-01,12297.58,2705.47,100,614.88,8877.23
100355,2025-01-01,14806.67,3257.47,100,740.33,10708.87
100356,2025-01-01,11498.0,2529.56,220,574.9,8173.54
100357,2025-01-01,16307.42,3587.63,100,815.37,11804.42
100358,2025-01-01,11715.58,2577.43,100,585.78,8452.37
100359,2025-01-01,6398.33,1407.63,400,319.92,4270.78
100360,2025-01-01,4879.92,1073.58,220,244.0,3342.34
100361,2025-01-01,13793.25,3034.52,220,689.66,9849.07
100362,2025-01-01,11449.67,2518.93,100,572.48,8258.26
100363,2025-01-01,4174.17,918.32,100,208.71,2947.14
100364,2025-01-01,11433.0,2515.26,220,571.65,8126.09
100365,2025-01-01,4985.67,1096.85,100,249.28,3539.54
100366,2025-01-01,4745.92,1044.1,220,237.3,3244.52
100367,2025-01-01,8713.92,1917.06,400,435.7,5961.16
100368,2025-01-01,12154.67,2674.03,400,607.73,8472.91
100369,2025-01-01,7626.67,1677.87,100,381.33,5467.47
100370,2025-01-01,7048.25,1550.62,220,352.41,4925.22
100371,2025-01-01,5101.75,1122.38,400,255.09,3324.28
100373,2025-01-01,13493.83,2968.64,400,674.69,9450.5
100374,2025-01-01,8922.08,1962.86,400,446.1,6113.12
100375,2025-01-01,15222.92,3349.04,220,761.15,10892.73
100376,2025-01-01,6214.08,1367.1,220,310.7,4316.28
100377,2025-01-01,8119.33,1786.25,220,405.97,5707.11
100378,2025-01-01,10925.25,2403.55,400,546.26,7575.44
100379,2025-01-01,12953.17,2849.7,400,647.66,9055.81
100380,2025-01-01,7847.83,1726.52,220,392.39,5508.92
100381,2025-01-01,6682.0,1470.04,220,334.1,4657.86
100382,2025-01-01,8370.58,1841.53,220,418.53,5890.52
100383,2025-01-01,16507.5,3631.65,100,825.38,11950.47
100384,2025-01-01,7028.0,1546.16,100,351.4,5030.44
100385,2025-01-01,12205.67,2685.25,220,610.28,8690.14
100386,2025-01-01,13128.83,2888.34,220,656.44,9364.05
100387,2025-01-01,20124.58,4427.41,400,1006.23,14290.94
100388,2025-01-01,5408.33,1189.83,100,270.42,3848.08
100389,2025-01-01,10717.33,2357.81,400,535.87,7423.65
100390,2025-01-01,20426.58,4493.85,400,1021.33,14511.4
100391,2025-01-01,15070.0,3315.4,100,753.5,10901.1
100392,2025-01-01,6025.33,1325.57,220,301.27,4178.49
100393,2025-01-01,6056.58,1332.45,400,302.83,4021.3
100394,2025-01-01,12825.25,2821.56,220,641.26,9142.43
100395,2025-01-01,8660.83,1905.38,220,433.04,6102.41
100396,2025-01-01,11119.17,2446.22,400,555.96,7716.99
100397,2025-01-01,7013.08,1542.88,400,350.65,4719.55
100398,2025-01-01,8264.83,1818.26,220,413.24,5813.33
100399,2025-01-01,15429.42,3394.47,220,771.47,11043.48
100400,2025-01-01,7620.92,1676.6,100,381.05,5463.27
100401,2025-01-01,13547.5,2980.45,100,677.38,9789.67
100402,2025-01-01,4514.25,993.14,220,225.71,3075.4
100403,2025-01-01,4360.0,959.2,100,218.0,3082.8
100405,2025-01-01,16811.75,3698.58,220,840.59,12052.58
100406,2025-01-01,7907.08,1739.56,400,395.35,5372.17
100407,2025-01-01,12041.25,2649.08,100,602.06,8690.11
100408,2025-01-01,8601.67,1892.37,220,430.08,6059.22
100409,2025-01-01,14262.67,3137.79,400,713.13,10011.75
100410,2025-01-01,9104.0,2002.88,100,455.2,6545.92
100411,2025-01-01,3642.42,801.33,400,182.12,2258.97
100412,2025-01-01,12391.25,2726.08,220,619.56,8825.61
100413,2025-01-01,16450.0,3619.0,220,822.5,11788.5
100414,2025-01-01,4616.75,1015.68,220,230.84,3150.23
100415,2025-01-01,13032.75,2867.2,220,651.64,9293.91
100416,2025-01-01,9014.33,1983.15,100,450.72,6480.46
100417,2025-01-01,27672.58,6087.97,400,1383.63,19800.98
100418,2025-01-01,3835.42,843.79,400,191.77,2399.86
100419,2025-01-01,8082.08,1778.06,220,404.1,5679.92
100420,2025-01-01,20347.08,4476.36,220,1017.35,14633.37
100421,2025-01-01,5960.33,1311.27,220,298.02,4131.04
100422,2025-01-01,6640.33,1460.87,220,332.02,4627.44
100423,2025-01-01,7200.25,1584.06,220,360.01,5036.18
100424,2025-01-01,14573.17,3206.1,220,728.66,10418.41
100425,2025-01-01,12897.75,2837.5,220,644.89,9195.36
100426,2025-01-01,5632.17,1239.08,100,281.61,4011.48
100427,2025-01-01,7760.42,1707.29,100,388.02,5565.11
100428,2025-01-01,13786.0,3032.92,220,689.3,9843.78
100429,2025-01-01,6901.0,1518.22,220,345.05,4817.73
100430,2025-01-01,11574.17,2546.32,100,578.71,8349.14
100432,2025-01-01,8009.83,1762.16,220,400.49,5627.18
100433,2025-01-01,4578.92,1007.36,220,228.95,3122.61
100434,2025-01-01,4995.0,1098.9,220,249.75,3426.35
100435,2025-01-01,11019.42,2424.27,400,550.97,7644.18
100436,2025-01-01,14793.08,3254.48,220,739.65,10578.95
100437,2025-01-01,10365.92,2280.5,220,518.3,7347.12
100438,2025-01-01,11272.58,2479.97,400,563.63,7828.98
100439,2025-01-01,5994.83,1318.86,220,299.74,4156.23
100440,2025-01-01,11014.08,2423.1,100,550.7,7940.28
100441,2025-01-01,15062.75,3313.8,220,753.14,10775.81
100442,2025-01-01,14909.92,3280.18,220,745.5,10664.24
100443,2025-01-01,4457.17,980.58,100,222.86,3153.73
100444,2025-01-01,5140.42,1130.89,100,257.02,3652.51
100445,2025-01-01,7729.67,1700.53,100,386.48,5542.66
100446,2025-01-01,14042.75,3089.4,400,702.14,9851.21
100447,2025-01-01,6248.92,1374.76,220,312.45,4341.71
100449,2025-01-01,8462.17,1861.68,100,423.11,6077.38
100450,2025-01-01,17225.42,3789.59,220,861.27,12354.56
100451,2025-01-01,8267.33,1818.81,100,413.37,5935.15
100452,2025-01-01,5254.25,1155.94,100,262.71,3735.6
100453,2025-01-01,11580.0,2547.6,220,579.0,8233.4
100454,2025-01-01,14185.5,3120.81,220,709.28,10135.41
100455,2025-01-01,10536.92,2318.12,220,526.85,7471.95
100456,2025-01-01,7848.92,1726.76,100,392.45,5629.71
100457,2025-01-01,13051.58,2871.35,220,652.58,9307.65
100458,2025-01-01,6816.17,1499.56,400,340.81,4575.8
100459,2025-01-01,12074.33,2656.35,100,603.72,8714.26
100460,2025-01-01,4100.25,902.06,400,205.01,2593.18
100461,2025-01-01,6625.42,1457.59,220,331.27,4616.56
100462,2025-01-01,13407.25,2949.6,220,670.36,9567.29
100463,2025-01-01,13109.67,2884.13,220,655.48,9350.06
100464,2025-01-01,12880.17,2833.64,220,644.01,9182.52
100465,2025-01-01,13293.0,2924.46,100,664.65,9603.89
100466,2025-01-01,4778.33,1051.23,400,238.92,3088.18
100467,2025-01-01,12374.42,2722.37,220,618.72,8813.33
100468,2025-01-01,11291.58,2484.15,220,564.58,8022.85
100469,2025-01-01,11189.0,2461.58,220,559.45,7947.97
