employee_id,course_name,completion_date,skill_category,is_required
100010,Data-Driven Decision Making,2024-10-19,Technical,Yes
100010,Advanced Communication,2025-02-11,Communication,Yes
100010,Power BI Fundamentals,2025-03-15,Technical,No
100010,Business Writing,2025-04-28,Communication,No
100010,Compliance Basics,2025-10-16,Compliance,Yes
100010,Project Management Fundamentals,2026-01-05,Technical,Yes
100010,Budget Planning,2026-06-09,Management,No
100011,Project Management Fundamentals,2023-04-09,Technical,Yes
100011,Compliance Basics,2023-06-18,Compliance,Yes
100011,Foundations of Excellence,2023-07-15,Technical,Yes
100011,Advanced Communication,2023-10-31,Communication,Yes
100011,Communication Skills 101,2023-11-08,Communication,Yes
100011,Excel Advanced,2023-12-15,Technical,No
100012,Conflict Resolution,2018-11-09,Leadership,No
100012,Advanced Communication,2019-01-09,Communication,Yes
100012,Budget Planning,2020-02-21,Management,No
100012,Leadership Essentials,2021-01-10,Leadership,Yes
100012,Cross-functional Collaboration,2021-06-15,Communication,Yes
100012,Strategic Thinking,2022-06-06,Leadership,Yes
100012,Communication Skills 101,2023-04-08,Communication,Yes
100012,Compliance Basics,2024-06-12,Compliance,Yes
100012,Foundations of Excellence,2024-07-15,Technical,Yes
100012,Project Management Fundamentals,2025-01-07,Technical,Yes
100012,Data-Driven Decision Making,2025-03-09,Technical,Yes
100012,Business Writing,2025-06-22,Communication,No
100013,Executive Presence,2018-01-27,Leadership,Yes
100013,Cross-functional Collaboration,2018-02-15,Communication,Yes
100013,Advanced Communication,2018-11-26,Communication,Yes
100013,Talent Acquisition,2020-03-14,Management,No
100013,Strategic Thinking,2021-02-10,Leadership,Yes
100013,Anti-Harassment Training,2022-01-14,Compliance,No
100013,People Management Basics,2022-12-21,Management,Yes
100013,Leadership Essentials,2023-06-02,Leadership,Yes
100013,Data-Driven Decision Making,2023-12-11,Technical,Yes
100013,Foundations of Excellence,2024-03-25,Technical,Yes
100013,Communication Skills 101,2025-08-30,Communication,Yes
100014,Advanced Communication,2020-05-04,Communication,Yes
100014,Data-Driven Decision Making,2021-02-26,Technical,Yes
100014,Communication Skills 101,2022-02-01,Communication,Yes
100014,Strategic Thinking,2022-02-16,Leadership,Yes
100014,Negotiation Tactics,2022-05-15,Communication,No
100014,Compliance Basics,2023-02-04,Compliance,Yes
100014,Excel Advanced,2023-03-02,Technical,No
100014,Foundations of Excellence,2023-04-13,Technical,Yes
100014,Project Management Fundamentals,2023-05-13,Technical,Yes
100014,Power BI Fundamentals,2024-06-29,Technical,No
100014,Cloud Computing Basics,2025-09-05,Technical,No
100014,Talent Acquisition,2025-10-09,Management,No
100014,Cross-functional Collaboration,2026-04-15,Communication,Yes
100015,Communication Skills 101,2021-05-27,Communication,Yes
100015,Foundations of Excellence,2021-06-14,Technical,Yes
100015,Data-Driven Decision Making,2023-02-02,Technical,Yes
100015,Project Management Fundamentals,2025-04-29,Technical,Yes
100015,Compliance Basics,2025-11-20,Compliance,Yes
100015,Anti-Harassment Training,2026-05-29,Compliance,No
100016,Foundations of Excellence,2019-07-06,Technical,Yes
100016,Project Management Fundamentals,2019-09-19,Technical,Yes
100016,Change Management,2019-10-15,Leadership,No
100016,Leadership Essentials,2020-07-06,Leadership,Yes
100016,Business Writing,2020-07-15,Communication,No
100016,People Management Basics,2020-10-10,Management,Yes
100016,Data-Driven Decision Making,2021-11-24,Technical,Yes
100016,Executive Leadership Program,2022-04-20,Leadership,Yes
100016,Compliance Basics,2022-05-25,Compliance,Yes
100016,Advanced Communication,2023-10-15,Communication,Yes
100016,Cross-functional Collaboration,2024-03-03,Communication,Yes
100016,Negotiation Tactics,2024-04-21,Communication,No
100016,Executive Presence,2025-05-05,Leadership,Yes
100016,Communication Skills 101,2025-05-12,Communication,Yes
100016,Strategic Thinking,2025-09-22,Leadership,Yes
100017,Executive Presence,2021-06-01,Leadership,Yes
100017,Data-Driven Decision Making,2021-12-26,Technical,Yes
100017,Advanced Communication,2022-03-06,Communication,Yes
100017,Foundations of Excellence,2022-03-18,Technical,Yes
100017,Executive Leadership Program,2022-04-17,Leadership,Yes
100017,Presentation Skills,2022-04-24,Communication,No
100017,Leadership Essentials,2022-07-23,Leadership,Yes
100017,Project Management Fundamentals,2022-07-28,Technical,Yes
100017,Cross-functional Collaboration,2022-10-06,Communication,Yes
100017,Business Strategy,2022-11-23,Management,Yes
100017,Workplace Safety,2023-01-07,Compliance,No
100017,Data Privacy & GDPR,2023-02-02,Compliance,No
100017,People Management Basics,2024-01-10,Management,Yes
100017,Communication Skills 101,2024-06-15,Communication,Yes
100017,Talent Acquisition,2024-09-13,Management,No
100017,Organizational Leadership,2025-05-20,Management,Yes
100017,Python for Data Analysis,2025-12-01,Technical,No
100017,Strategic Thinking,2026-05-22,Leadership,Yes
100018,Advanced Communication,2020-02-06,Communication,Yes
100018,Strategic Thinking,2020-07-14,Leadership,Yes
100018,Project Management Fundamentals,2022-03-08,Technical,Yes
100018,Budget Planning,2023-05-20,Management,No
100018,Foundations of Excellence,2023-08-01,Technical,Yes
100018,Data-Driven Decision Making,2024-06-12,Technical,Yes
100018,Talent Acquisition,2025-01-30,Management,No
100018,Communication Skills 101,2025-08-08,Communication,Yes
100018,Compliance Basics,2026-05-19,Compliance,Yes
100019,Data Privacy & GDPR,2020-12-14,Compliance,No
100019,Compliance Basics,2021-02-03,Compliance,Yes
100019,Communication Skills 101,2022-07-18,Communication,Yes
100019,Leadership Essentials,2022-10-06,Leadership,Yes
100019,Cross-functional Collaboration,2022-10-18,Communication,Yes
100019,People Management Basics,2022-10-21,Management,Yes
100019,Foundations of Excellence,2023-12-26,Technical,Yes
100019,Advanced Communication,2024-06-08,Communication,Yes
100019,Data-Driven Decision Making,2025-03-31,Technical,Yes
100019,Strategic Thinking,2025-04-09,Leadership,Yes
100019,Executive Presence,2025-07-13,Leadership,Yes
100019,Organizational Leadership,2025-10-19,Management,Yes
100020,Compliance Basics,2023-12-26,Compliance,Yes
100020,Foundations of Excellence,2024-01-19,Technical,Yes
100020,Project Management Fundamentals,2025-04-05,Technical,Yes
100020,Budget Planning,2025-04-13,Management,No
100020,Communication Skills 101,2026-02-18,Communication,Yes
100020,Data-Driven Decision Making,2026-03-01,Technical,Yes
100021,Compliance Basics,2020-11-22,Compliance,Yes
100021,Communication Skills 101,2021-02-28,Communication,Yes
100021,Advanced Communication,2023-09-18,Communication,Yes
100021,Cloud Computing Basics,2023-10-05,Technical,No
100021,Foundations of Excellence,2024-03-21,Technical,Yes
100021,Change Management,2024-05-30,Leadership,No
100021,Workplace Safety,2026-06-15,Compliance,No
100022,Advanced Communication,2023-06-15,Communication,Yes
100022,Presentation Skills,2023-12-11,Communication,No
100022,Cross-functional Collaboration,2024-02-07,Communication,Yes
100022,Leadership Essentials,2024-03-09,Leadership,Yes
100022,Python for Data Analysis,2024-06-22,Technical,No
100022,Strategic Thinking,2024-12-03,Leadership,Yes
100022,Foundations of Excellence,2025-02-17,Technical,Yes
100022,Communication Skills 101,2025-04-30,Communication,Yes
100022,Data-Driven Decision Making,2025-07-29,Technical,Yes
100022,Executive Presence,2025-09-11,Leadership,Yes
100022,Organizational Leadership,2025-10-26,Management,Yes
100022,Compliance Basics,2025-11-08,Compliance,Yes
100022,People Management Basics,2026-02-03,Management,Yes
100022,Project Management Fundamentals,2026-04-20,Technical,Yes
100023,Business Writing,2017-12-31,Communication,No
100023,Project Management Fundamentals,2018-01-20,Technical,Yes
100023,Python for Data Analysis,2019-09-16,Technical,No
100023,Communication Skills 101,2020-05-18,Communication,Yes
100023,Change Management,2020-10-16,Leadership,No
100023,Data-Driven Decision Making,2022-02-15,Technical,Yes
100023,Cross-functional Collaboration,2023-10-14,Communication,Yes
100023,Compliance Basics,2024-09-26,Compliance,Yes
100023,Advanced Communication,2025-06-20,Communication,Yes
100024,Excel Advanced,2023-09-07,Technical,No
100024,Coaching Skills,2023-10-12,Leadership,No
100024,People Management Basics,2023-10-26,Management,Yes
100024,Compliance Basics,2023-11-03,Compliance,Yes
100024,Workplace Safety,2023-11-20,Compliance,No
100024,Project Management Fundamentals,2023-12-13,Technical,Yes
100024,Budget Planning,2024-02-20,Management,No
100024,Cross-functional Collaboration,2024-04-03,Communication,Yes
100024,Communication Skills 101,2024-06-20,Communication,Yes
100024,Business Writing,2024-06-22,Communication,No
100024,Strategic Thinking,2024-06-29,Leadership,Yes
100024,Leadership Essentials,2024-07-08,Leadership,Yes
100024,Data-Driven Decision Making,2024-07-22,Technical,Yes
100024,Foundations of Excellence,2024-08-13,Technical,Yes
100025,Data-Driven Decision Making,2026-01-14,Technical,Yes
100025,Foundations of Excellence,2026-02-01,Technical,Yes
100025,Strategic Thinking,2026-03-01,Leadership,Yes
100025,Business Writing,2026-03-01,Communication,No
100025,People Management Basics,2026-03-14,Management,Yes
100025,Advanced Communication,2026-03-22,Communication,Yes
100025,Data Privacy & GDPR,2026-04-07,Compliance,No
100025,Compliance Basics,2026-04-15,Compliance,Yes
100025,Executive Presence,2026-04-17,Leadership,Yes
100025,Cross-functional Collaboration,2026-05-11,Communication,Yes
100025,Communication Skills 101,2026-06-14,Communication,Yes
100026,SQL Essentials,2023-07-27,Technical,No
100026,Communication Skills 101,2024-01-05,Communication,Yes
100026,Project Management Fundamentals,2024-04-01,Technical,Yes
100026,Foundations of Excellence,2024-05-12,Technical,Yes
100026,Presentation Skills,2025-02-27,Communication,No
100027,Data-Driven Decision Making,2024-12-22,Technical,Yes
100027,Budget Planning,2025-02-02,Management,No
100027,Strategic Thinking,2025-04-06,Leadership,Yes
100027,Foundations of Excellence,2025-04-18,Technical,Yes
100027,People Management Basics,2025-06-10,Management,Yes
100027,Leadership Essentials,2025-07-18,Leadership,Yes
100027,Cross-functional Collaboration,2025-10-01,Communication,Yes
100027,Business Writing,2025-11-28,Communication,No
100027,Communication Skills 101,2025-12-06,Communication,Yes
100027,Advanced Communication,2026-01-05,Communication,Yes
100027,Compliance Basics,2026-03-30,Compliance,Yes
100028,Foundations of Excellence,2018-10-25,Technical,Yes
100028,Advanced Communication,2019-05-30,Communication,Yes
100028,Project Management Fundamentals,2019-12-16,Technical,Yes
100028,Cross-functional Collaboration,2020-01-15,Communication,Yes
100028,Compliance Basics,2020-02-24,Compliance,Yes
100028,Workplace Safety,2020-03-18,Compliance,No
100028,Data-Driven Decision Making,2020-03-22,Technical,Yes
100028,Excel Advanced,2020-03-24,Technical,No
100028,Strategic Thinking,2022-02-04,Leadership,Yes
100028,SQL Essentials,2023-02-22,Technical,No
100028,Coaching Skills,2024-03-06,Leadership,No
100029,Compliance Basics,2023-10-23,Compliance,Yes
100029,Anti-Harassment Training,2023-11-01,Compliance,No
100029,Workplace Safety,2024-04-02,Compliance,No
100029,Data Privacy & GDPR,2024-04-10,Compliance,No
100029,Data-Driven Decision Making,2024-08-10,Technical,Yes
100029,Advanced Communication,2024-08-25,Communication,Yes
100029,Power BI Fundamentals,2024-08-28,Technical,No
100029,Strategic Thinking,2024-10-28,Leadership,Yes
100029,Communication Skills 101,2024-11-20,Communication,Yes
100029,Cross-functional Collaboration,2025-09-19,Communication,Yes
100029,Performance Management,2025-10-09,Management,No
100029,Foundations of Excellence,2025-10-21,Technical,Yes
100029,Project Management Fundamentals,2026-03-11,Technical,Yes
100030,Compliance Basics,2022-03-03,Compliance,Yes
100030,Workplace Safety,2022-03-17,Compliance,No
100030,Conflict Resolution,2022-07-12,Leadership,No
100030,Presentation Skills,2022-07-23,Communication,No
100030,Advanced Communication,2022-09-22,Communication,Yes
100030,Data-Driven Decision Making,2023-08-19,Technical,Yes
100030,Communication Skills 101,2023-12-22,Communication,Yes
100030,Foundations of Excellence,2024-03-26,Technical,Yes
100030,Budget Planning,2024-09-04,Management,No
100030,Business Writing,2025-07-19,Communication,No
100030,Project Management Fundamentals,2025-09-22,Technical,Yes
100030,Strategic Thinking,2025-09-26,Leadership,Yes
100031,Strategic Thinking,2021-01-28,Leadership,Yes
100031,Project Management Fundamentals,2021-06-27,Technical,Yes
100031,Communication Skills 101,2021-07-05,Communication,Yes
100031,Advanced Communication,2021-10-29,Communication,Yes
100031,Data-Driven Decision Making,2022-03-30,Technical,Yes
100031,Foundations of Excellence,2022-05-22,Technical,Yes
100031,Python for Data Analysis,2023-04-18,Technical,No
100031,Data Privacy & GDPR,2025-10-07,Compliance,No
100032,Cross-functional Collaboration,2024-02-13,Communication,Yes
100032,Strategic Thinking,2024-10-07,Leadership,Yes
100032,People Management Basics,2025-04-07,Management,Yes
100032,Data Privacy & GDPR,2025-05-04,Compliance,No
100032,SQL Essentials,2025-06-12,Technical,No
100032,Data-Driven Decision Making,2025-08-01,Technical,Yes
100032,Communication Skills 101,2025-08-22,Communication,Yes
100032,Cloud Computing Basics,2025-10-17,Technical,No
100032,Conflict Resolution,2026-01-26,Leadership,No
100032,Compliance Basics,2026-01-27,Compliance,Yes
100032,Foundations of Excellence,2026-02-06,Technical,Yes
100033,Data-Driven Decision Making,2021-11-21,Technical,Yes
100033,Cross-functional Collaboration,2021-12-21,Communication,Yes
100033,Foundations of Excellence,2022-06-10,Technical,Yes
100033,Communication Skills 101,2023-03-11,Communication,Yes
100033,People Management Basics,2023-09-07,Management,Yes
100033,Compliance Basics,2024-01-13,Compliance,Yes
100033,Advanced Communication,2024-06-21,Communication,Yes
100033,Strategic Thinking,2025-03-20,Leadership,Yes
100033,Talent Acquisition,2025-07-17,Management,No
100034,Communication Skills 101,2023-01-08,Communication,Yes
100034,Strategic Thinking,2023-01-19,Leadership,Yes
100034,Data-Driven Decision Making,2023-01-28,Technical,Yes
100034,People Management Basics,2023-03-12,Management,Yes
100034,Business Writing,2023-04-10,Communication,No
100034,Organizational Leadership,2023-09-22,Management,Yes
100034,Project Management Fundamentals,2024-05-15,Technical,Yes
100034,Conflict Resolution,2024-06-19,Leadership,No
100034,Advanced Communication,2024-08-06,Communication,Yes
100034,Executive Presence,2024-10-18,Leadership,Yes
100034,Presentation Skills,2024-11-20,Communication,No
100034,Python for Data Analysis,2024-12-11,Technical,No
100034,Compliance Basics,2025-04-12,Compliance,Yes
100034,Leadership Essentials,2025-07-09,Leadership,Yes
100034,Cross-functional Collaboration,2026-03-07,Communication,Yes
100034,Foundations of Excellence,2026-05-18,Technical,Yes
100035,Project Management Fundamentals,2026-04-12,Technical,Yes
100035,Compliance Basics,2026-04-26,Compliance,Yes
100035,Power BI Fundamentals,2026-05-09,Technical,No
100035,Foundations of Excellence,2026-06-09,Technical,Yes
100036,Business Writing,2022-02-19,Communication,No
100036,Advanced Communication,2023-07-04,Communication,Yes
100036,Cross-functional Collaboration,2023-07-27,Communication,Yes
100036,Leadership Essentials,2023-10-08,Leadership,Yes
100036,Strategic Thinking,2024-09-05,Leadership,Yes
100036,Foundations of Excellence,2024-10-05,Technical,Yes
100036,Project Management Fundamentals,2024-11-23,Technical,Yes
100036,Compliance Basics,2025-03-04,Compliance,Yes
100036,Data-Driven Decision Making,2025-03-31,Technical,Yes
100036,Excel Advanced,2025-11-25,Technical,No
100036,Communication Skills 101,2025-12-21,Communication,Yes
100037,Organizational Leadership,2023-07-17,Management,Yes
100037,Business Writing,2024-01-26,Communication,No
100037,Leadership Essentials,2024-05-18,Leadership,Yes
100037,Cross-functional Collaboration,2024-06-08,Communication,Yes
100037,Python for Data Analysis,2024-06-09,Technical,No
100037,People Management Basics,2024-10-10,Management,Yes
100037,Project Management Fundamentals,2024-12-12,Technical,Yes
100037,Advanced Communication,2025-07-03,Communication,Yes
100037,Executive Presence,2025-08-14,Leadership,Yes
100037,Compliance Basics,2025-10-03,Compliance,Yes
100037,Strategic Thinking,2025-11-08,Leadership,Yes
100037,Coaching Skills,2025-12-24,Leadership,No
100037,Data-Driven Decision Making,2026-01-02,Technical,Yes
100037,Foundations of Excellence,2026-03-15,Technical,Yes
100038,Presentation Skills,2023-09-30,Communication,No
100038,Communication Skills 101,2023-10-11,Communication,Yes
100038,Compliance Basics,2024-06-25,Compliance,Yes
100038,Data-Driven Decision Making,2025-05-21,Technical,Yes
100038,Project Management Fundamentals,2025-09-07,Technical,Yes
100038,Conflict Resolution,2025-09-20,Leadership,No
100038,Foundations of Excellence,2025-10-23,Technical,Yes
100038,Talent Acquisition,2026-01-13,Management,No
100038,Python for Data Analysis,2026-06-02,Technical,No
100039,Foundations of Excellence,2023-08-22,Technical,Yes
100039,Compliance Basics,2023-10-31,Compliance,Yes
100039,Cloud Computing Basics,2024-06-24,Technical,No
100039,Project Management Fundamentals,2025-07-08,Technical,Yes
100039,Data Privacy & GDPR,2026-01-09,Compliance,No
100039,Negotiation Tactics,2026-04-15,Communication,No
100039,Presentation Skills,2026-05-15,Communication,No
100040,Communication Skills 101,2020-03-30,Communication,Yes
100040,Compliance Basics,2020-05-09,Compliance,Yes
100040,Change Management,2021-04-23,Leadership,No
100040,Presentation Skills,2021-09-15,Communication,No
100040,Project Management Fundamentals,2023-09-23,Technical,Yes
100040,Foundations of Excellence,2025-02-23,Technical,Yes
100040,Data-Driven Decision Making,2025-12-12,Technical,Yes
100041,Project Management Fundamentals,2019-10-16,Technical,Yes
100041,Excel Advanced,2019-10-31,Technical,No
100041,Advanced Communication,2020-09-19,Communication,Yes
100041,Communication Skills 101,2023-05-09,Communication,Yes
100041,Data-Driven Decision Making,2025-07-23,Technical,Yes
100041,Strategic Thinking,2026-04-27,Leadership,Yes
100042,Project Management Fundamentals,2023-12-14,Technical,Yes
100042,Power BI Fundamentals,2024-11-26,Technical,No
100042,Compliance Basics,2025-02-26,Compliance,Yes
100042,Data Privacy & GDPR,2025-03-31,Compliance,No
100042,Cloud Computing Basics,2025-04-23,Technical,No
100042,Conflict Resolution,2026-03-29,Leadership,No
100042,Communication Skills 101,2026-04-10,Communication,Yes
100042,Python for Data Analysis,2026-04-28,Technical,No
100043,Advanced Communication,2025-08-03,Communication,Yes
100043,Communication Skills 101,2025-08-07,Communication,Yes
100043,Strategic Thinking,2025-09-08,Leadership,Yes
100043,Foundations of Excellence,2025-09-13,Technical,Yes
100043,SQL Essentials,2025-09-15,Technical,No
100043,Data-Driven Decision Making,2026-03-28,Technical,Yes
100043,Compliance Basics,2026-04-15,Compliance,Yes
100044,Compliance Basics,2018-12-15,Compliance,Yes
100044,Excel Advanced,2021-08-14,Technical,No
100044,Presentation Skills,2021-11-19,Communication,No
100044,Strategic Thinking,2023-04-21,Leadership,Yes
100044,Project Management Fundamentals,2024-02-21,Technical,Yes
100044,Foundations of Excellence,2024-12-07,Technical,Yes
100044,Communication Skills 101,2025-02-04,Communication,Yes
100044,Cross-functional Collaboration,2025-07-09,Communication,Yes
100044,Budget Planning,2025-08-12,Management,No
100044,Advanced Communication,2025-12-12,Communication,Yes
100044,Data Privacy & GDPR,2026-04-22,Compliance,No
100045,Communication Skills 101,2022-03-21,Communication,Yes
100045,Data-Driven Decision Making,2022-06-24,Technical,Yes
100045,Cloud Computing Basics,2022-12-04,Technical,No
100045,Foundations of Excellence,2023-01-01,Technical,Yes
100045,SQL Essentials,2023-03-25,Technical,No
100045,Compliance Basics,2023-04-01,Compliance,Yes
100045,Cross-functional Collaboration,2023-09-29,Communication,Yes
100045,Workplace Safety,2025-05-20,Compliance,No
100045,Strategic Thinking,2025-07-08,Leadership,Yes
100045,Presentation Skills,2026-01-10,Communication,No
100046,Communication Skills 101,2026-05-23,Communication,Yes
100046,Power BI Fundamentals,2026-05-26,Technical,No
100046,Compliance Basics,2026-05-27,Compliance,Yes
100046,Project Management Fundamentals,2026-05-27,Technical,Yes
100046,Cloud Computing Basics,2026-05-30,Technical,No
100046,Change Management,2026-06-07,Leadership,No
100046,Foundations of Excellence,2026-06-11,Technical,Yes
100047,Leadership Essentials,2023-08-10,Leadership,Yes
100047,Anti-Harassment Training,2023-09-13,Compliance,No
100047,Talent Acquisition,2023-11-11,Management,No
100047,Organizational Leadership,2024-01-06,Management,Yes
100047,Compliance Basics,2024-02-01,Compliance,Yes
100047,Communication Skills 101,2024-04-07,Communication,Yes
100047,Strategic Thinking,2024-07-25,Leadership,Yes
100047,Change Management,2024-08-26,Leadership,No
100047,Foundations of Excellence,2024-11-20,Technical,Yes
100047,Business Strategy,2024-11-29,Management,Yes
100047,Advanced Communication,2025-02-10,Communication,Yes
100047,Data-Driven Decision Making,2025-08-06,Technical,Yes
100047,People Management Basics,2025-10-14,Management,Yes
100047,Cross-functional Collaboration,2025-10-26,Communication,Yes
100047,Executive Presence,2026-02-05,Leadership,Yes
100047,Project Management Fundamentals,2026-03-09,Technical,Yes
100048,Advanced Communication,2017-11-14,Communication,Yes
100048,Strategic Thinking,2017-12-24,Leadership,Yes
100048,Project Management Fundamentals,2019-05-22,Technical,Yes
100048,Data-Driven Decision Making,2020-08-28,Technical,Yes
100048,Communication Skills 101,2021-11-04,Communication,Yes
100048,Presentation Skills,2021-11-09,Communication,No
100048,Coaching Skills,2022-08-08,Leadership,No
100048,Compliance Basics,2023-12-19,Compliance,Yes
100048,Data Privacy & GDPR,2024-03-07,Compliance,No
100048,Change Management,2025-11-14,Leadership,No
100048,Cross-functional Collaboration,2026-04-11,Communication,Yes
100049,Compliance Basics,2017-07-14,Compliance,Yes
100049,Business Writing,2018-06-28,Communication,No
100049,Communication Skills 101,2019-08-26,Communication,Yes
100049,Strategic Thinking,2019-12-09,Leadership,Yes
100049,Project Management Fundamentals,2020-04-02,Technical,Yes
100049,Advanced Communication,2020-06-18,Communication,Yes
100049,People Management Basics,2020-09-19,Management,Yes
100049,Data Privacy & GDPR,2021-03-08,Compliance,No
100049,Data-Driven Decision Making,2021-07-14,Technical,Yes
100050,People Management Basics,2025-11-18,Management,Yes
100050,Leadership Essentials,2025-12-12,Leadership,Yes
100050,Presentation Skills,2026-01-04,Communication,No
100050,Strategic Thinking,2026-01-13,Leadership,Yes
100050,Workplace Safety,2026-01-25,Compliance,No
100050,Cross-functional Collaboration,2026-03-10,Communication,Yes
100050,Advanced Communication,2026-03-13,Communication,Yes
100050,Communication Skills 101,2026-04-17,Communication,Yes
