employee_id,medical_plan,dependents,dental_plan,vision_plan,monthly_benefit_cost
100101,Bronze,2,Yes,Yes,100
100102,Silver,0,No,Yes,220
100103,Silver,3,Yes,Yes,220
100104,Silver,3,Yes,Yes,220
100105,Silver,1,No,Yes,220
100106,Silver,2,No,No,220
100107,Gold,1,Yes,Yes,400
100108,Silver,0,Yes,Yes,220
100109,Gold,2,Yes,No,400
100110,Silver,1,No,Yes,220
100111,Silver,3,Yes,Yes,220
100112,Bronze,3,Yes,No,100
100113,Silver,0,Yes,Yes,220
100114,Silver,2,Yes,Yes,220
100115,Bronze,0,Yes,Yes,100
100116,Gold,3,Yes,Yes,400
100117,Gold,2,No,Yes,400
100118,Gold,2,No,Yes,400
100119,Gold,2,Yes,Yes,400
100120,Gold,3,Yes,Yes,400
100121,Silver,0,No,Yes,220
100122,Gold,2,No,Yes,400
100123,Silver,1,Yes,No,220
100124,Bronze,1,No,Yes,100
100125,Silver,1,Yes,Yes,220
100126,Silver,3,Yes,No,220
100127,Silver,3,Yes,Yes,220
100128,Silver,2,Yes,Yes,220
100129,Silver,1,Yes,Yes,220
100130,Bronze,1,Yes,Yes,100
100131,Gold,1,Yes,No,400
100132,Bronze,3,Yes,Yes,100
100133,Silver,0,Yes,No,220
100134,Gold,1,Yes,Yes,400
100135,Silver,0,Yes,No,220
100136,Bronze,1,Yes,Yes,100
100137,Silver,1,Yes,Yes,220
100138,Silver,1,No,Yes,220
100139,Silver,3,Yes,Yes,220
100140,Bronze,2,Yes,No,100
100141,Bronze,2,Yes,No,100
100142,Silver,1,Yes,No,220
100143,Bronze,3,Yes,No,100
100144,Silver,1,Yes,No,220
100145,Gold,2,Yes,No,400
100146,Silver,3,Yes,Yes,220
100147,Silver,3,Yes,Yes,220
100148,Silver,3,No,Yes,220
100149,Gold,0,Yes,Yes,400
100150,Silver,0,Yes,Yes,220
100151,Silver,2,Yes,Yes,220
100152,Gold,1,No,No,400
100153,Silver,3,Yes,Yes,220
100154,Bronze,3,No,Yes,100
100155,Silver,0,Yes,Yes,220
100156,Bronze,2,Yes,No,100
100157,Silver,1,Yes,No,220
100158,Silver,3,No,Yes,220
100159,Bronze,3,Yes,Yes,100
100160,Silver,1,Yes,Yes,220
100161,Gold,3,No,Yes,400
100162,Bronze,3,Yes,Yes,100
100163,Bronze,0,Yes,No,100
100164,Bronze,3,Yes,No,100
100165,Bronze,2,Yes,Yes,100
100166,Gold,0,Yes,Yes,400
100167,Gold,1,Yes,No,400
100168,Silver,1,Yes,Yes,220
100169,Bronze,2,Yes,Yes,100
100170,Silver,2,Yes,No,220
100171,Silver,1,No,Yes,220
100172,Silver,3,Yes,No,220
100173,Gold,2,No,No,400
100174,Bronze,3,No,Yes,100
100175,Silver,1,Yes,Yes,220
100176,Silver,3,Yes,No,220
100177,Bronze,2,No,Yes,100
100178,Bronze,0,Yes,Yes,100
100179,Silver,1,Yes,Yes,220
100180,Silver,3,Yes,No,220
100181,Bronze,2,Yes,Yes,100
100182,Bronze,2,Yes,No,100
100183,Silver,3,Yes,Yes,220
100184,Bronze,1,Yes,Yes,100
100185,Silver,3,No,Yes,220
100186,Gold,0,Yes,Yes,400
100187,Silver,3,Yes,Yes,220
100188,Silver,3,Yes,Yes,220
100189,Silver,3,Yes,Yes,220
100190,Bronze,2,Yes,Yes,100
100191,Silver,1,Yes,No,220
100192,Bronze,3,Yes,No,100
100193,Bronze,0,Yes,Yes,100
100194,Silver,2,Yes,Yes,220
100195,Silver,2,Yes,Yes,220
100196,Gold,1,Yes,Yes,400
100197,Silver,2,Yes,Yes,220
100198,Bronze,1,Yes,No,100
100199,Gold,0,No,Yes,400
100200,Gold,1,No,Yes,400
100201,Silver,1,Yes,Yes,220
100202,Silver,0,Yes,No,220
100203,Bronze,2,Yes,Yes,100
100204,Silver,1,Yes,Yes,220
100205,Bronze,2,Yes,No,100
100206,Bronze,0,Yes,Yes,100
100207,Gold,3,No,Yes,400
100208,Silver,3,Yes,No,220
100209,Silver,3,Yes,No,220
100210,Silver,1,Yes,Yes,220
100211,Bronze,3,Yes,Yes,100
100212,Bronze,1,Yes,Yes,100
100213,Silver,2,Yes,No,220
100214,Bronze,0,Yes,No,100
100215,Gold,0,Yes,Yes,400
100216,Silver,3,Yes,Yes,220
100217,Silver,3,Yes,Yes,220
100218,Silver,3,No,Yes,220
100219,Gold,1,Yes,Yes,400
100220,Silver,3,Yes,Yes,220
100221,Silver,2,Yes,No,220
100222,Silver,2,Yes,Yes,220
100223,Silver,1,No,Yes,220
100224,Silver,0,Yes,Yes,220
100225,Gold,2,Yes,Yes,400
100226,Silver,0,Yes,Yes,220
100227,Silver,3,Yes,Yes,220
100228,Gold,3,Yes,Yes,400
100229,Silver,1,Yes,Yes,220
100230,Silver,1,Yes,Yes,220
100231,Gold,2,Yes,Yes,400
100232,Bronze,0,Yes,Yes,100
100233,Gold,3,Yes,Yes,400
100234,Silver,1,Yes,Yes,220
100235,Bronze,3,Yes,Yes,100
100236,Silver,1,Yes,Yes,220
100237,Bronze,0,No,Yes,100
100238,Silver,0,Yes,No,220
100239,Silver,1,Yes,Yes,220
100240,Bronze,1,No,Yes,100
100241,Silver,2,Yes,No,220
100242,Silver,1,No,No,220
100243,Gold,1,Yes,No,400
100244,Bronze,0,No,No,100
100245,Gold,0,Yes,Yes,400
100246,Silver,1,Yes,Yes,220
100247,Gold,0,Yes,Yes,400
100248,Silver,3,Yes,No,220
100249,Silver,1,Yes,Yes,220
100250,Silver,1,Yes,No,220
100251,Silver,3,No,No,220
100252,Silver,0,Yes,No,220
100253,Silver,0,Yes,Yes,220
100254,Gold,1,No,No,400
100255,Silver,1,Yes,No,220
100256,Silver,3,Yes,No,220
100257,Gold,1,Yes,Yes,400
100258,Bronze,2,Yes,Yes,100
100259,Gold,3,Yes,Yes,400
100260,Silver,2,Yes,Yes,220
100261,Bronze,3,Yes,Yes,100
100262,Bronze,0,Yes,No,100
100263,Gold,2,No,Yes,400
100264,Bronze,0,Yes,Yes,100
100265,Bronze,0,Yes,No,100
100266,Gold,2,Yes,Yes,400
100267,Silver,2,Yes,No,220
100268,Silver,0,Yes,Yes,220
100269,Silver,1,Yes,No,220
100270,Bronze,0,Yes,Yes,100
100271,Silver,3,Yes,No,220
100272,Silver,2,Yes,Yes,220
100273,Silver,1,Yes,No,220
100274,Silver,1,Yes,No,220
100275,Silver,2,Yes,No,220
100276,Bronze,2,Yes,No,100
100277,Silver,3,No,Yes,220
100278,Gold,0,Yes,No,400
100279,Silver,3,Yes,Yes,220
100280,Gold,0,Yes,Yes,400
100281,Silver,2,Yes,Yes,220
100282,Silver,0,Yes,No,220
100283,Silver,1,No,Yes,220
100284,Bronze,1,No,Yes,100
100285,Bronze,1,Yes,Yes,100
100286,Bronze,2,No,Yes,100
100287,Silver,0,Yes,No,220
100288,Silver,3,Yes,No,220
100289,Gold,2,Yes,Yes,400
100290,Bronze,3,Yes,Yes,100
100291,Silver,1,Yes,Yes,220
100292,Silver,1,No,Yes,220
100293,Bronze,2,Yes,Yes,100
100294,Silver,2,No,No,220
100295,Bronze,3,Yes,Yes,100
100296,Gold,0,Yes,Yes,400
100297,Gold,3,Yes,Yes,400
100298,Gold,3,Yes,No,400
100299,Gold,1,Yes,Yes,400
100300,Silver,1,Yes,Yes,220
100301,Bronze,3,Yes,No,100
100302,Bronze,2,Yes,Yes,100
100303,Gold,1,Yes,Yes,400
100304,Silver,1,Yes,No,220
100305,Bronze,0,Yes,No,100
100306,Bronze,3,Yes,Yes,100
100307,Silver,0,Yes,Yes,220
100308,Silver,1,Yes,Yes,220
100309,Gold,3,Yes,Yes,400
100310,Gold,2,Yes,Yes,400
100311,Silver,3,Yes,No,220
100312,Silver,3,No,Yes,220
100313,Silver,1,Yes,Yes,220
100314,Gold,0,Yes,Yes,400
100315,Gold,2,Yes,No,400
100316,Gold,0,Yes,Yes,400
100317,Silver,0,Yes,No,220
100318,Bronze,3,Yes,No,100
100319,Bronze,0,Yes,Yes,100
100320,Silver,1,Yes,No,220
100321,Bronze,2,Yes,Yes,100
100322,Silver,3,No,No,220
100323,Silver,3,Yes,Yes,220
100324,Bronze,3,Yes,No,100
100325,Silver,1,Yes,Yes,220
100326,Gold,2,Yes,Yes,400
100327,Bronze,2,Yes,Yes,100
100328,Gold,2,Yes,Yes,400
100329,Bronze,2,Yes,Yes,100
100330,Silver,2,Yes,Yes,220
100331,Silver,3,Yes,Yes,220
100332,Silver,3,Yes,No,220
100333,Bronze,3,Yes,No,100
100334,Silver,0,Yes,Yes,220
100335,Gold,2,Yes,Yes,400
100336,Silver,1,Yes,Yes,220
100337,Bronze,0,No,No,100
100338,Bronze,2,No,No,100
100339,Silver,1,Yes,Yes,220
100340,Gold,0,No,Yes,400
100341,Silver,1,No,Yes,220
100342,Silver,2,Yes,Yes,220
100343,Silver,3,Yes,Yes,220
100344,Bronze,1,No,Yes,100
100345,Silver,2,No,Yes,220
100346,Bronze,2,Yes,Yes,100
100347,Gold,2,Yes,Yes,400
100348,Bronze,2,No,No,100
100349,Silver,1,Yes,Yes,220
100350,Silver,0,Yes,Yes,220
100351,Silver,2,Yes,Yes,220
100352,Bronze,1,Yes,No,100
100353,Silver,3,No,No,220
100354,Gold,3,Yes,Yes,400
100355,Bronze,0,Yes,No,100
100356,Silver,1,Yes,Yes,220
100357,Bronze,2,Yes,No,100
100358,Bronze,0,Yes,Yes,100
100359,Gold,2,Yes,No,400
100360,Silver,3,Yes,Yes,220
100361,Silver,1,Yes,Yes,220
100362,Bronze,2,No,Yes,100
100363,Bronze,1,Yes,Yes,100
100364,Silver,0,Yes,Yes,220
100365,Bronze,2,Yes,Yes,100
100366,Silver,2,Yes,Yes,220
100367,Gold,2,No,No,400
100368,Gold,0,Yes,Yes,400
100369,Bronze,2,No,Yes,100
100370,Silver,1,Yes,Yes,220
100371,Gold,0,Yes,No,400
100372,Silver,1,No,No,220
100373,Gold,2,No,No,400
100374,Gold,3,Yes,No,400
100375,Silver,0,Yes,No,220
100376,Silver,1,Yes,No,220
100377,Silver,3,Yes,Yes,220
100378,Gold,2,Yes,Yes,400
100379,Gold,2,Yes,Yes,400
100380,Silver,0,No,No,220
100381,Silver,3,No,Yes,220
100382,Silver,3,Yes,Yes,220
100383,Bronze,3,Yes,Yes,100
100384,Bronze,3,Yes,Yes,100
100385,Silver,2,No,No,220
100386,Silver,0,Yes,No,220
100387,Gold,1,Yes,Yes,400
100388,Bronze,1,Yes,Yes,100
100389,Gold,2,Yes,Yes,400
100390,Gold,0,Yes,Yes,400
100391,Bronze,3,No,Yes,100
100392,Silver,2,Yes,No,220
100393,Gold,2,Yes,Yes,400
100394,Silver,1,No,Yes,220
100395,Silver,3,Yes,Yes,220
100396,Gold,2,Yes,Yes,400
100397,Gold,2,Yes,No,400
100398,Silver,3,Yes,Yes,220
100399,Silver,1,No,Yes,220
100400,Bronze,1,Yes,Yes,100
100401,Bronze,1,Yes,No,100
100402,Silver,0,Yes,Yes,220
100403,Bronze,1,Yes,Yes,100
100404,Gold,0,Yes,No,400
100405,Silver,2,No,Yes,220
100406,Gold,2,Yes,Yes,400
100407,Bronze,3,No,Yes,100
100408,Silver,3,Yes,Yes,220
100409,Gold,2,Yes,Yes,400
100410,Bronze,1,Yes,Yes,100
100411,Gold,2,Yes,No,400
100412,Silver,1,Yes,Yes,220
100413,Silver,0,Yes,Yes,220
100414,Silver,0,Yes,No,220
100415,Silver,0,Yes,Yes,220
100416,Bronze,0,Yes,Yes,100
100417,Gold,1,Yes,No,400
100418,Gold,2,Yes,Yes,400
100419,Silver,3,Yes,Yes,220
100420,Silver,0,Yes,Yes,220
100421,Silver,3,No,Yes,220
100422,Silver,0,Yes,Yes,220
100423,Silver,0,Yes,Yes,220
100424,Silver,1,Yes,No,220
100425,Silver,1,Yes,Yes,220
100426,Bronze,2,Yes,Yes,100
100427,Bronze,3,Yes,No,100
100428,Silver,2,No,Yes,220
100429,Silver,0,Yes,Yes,220
100430,Bronze,3,Yes,Yes,100
100431,Bronze,1,Yes,Yes,100
100432,Silver,1,Yes,Yes,220
100433,Silver,3,Yes,No,220
100434,Silver,2,Yes,No,220
100435,Gold,0,No,Yes,400
100436,Silver,1,Yes,Yes,220
100437,Silver,2,No,Yes,220
100438,Gold,0,Yes,Yes,400
100439,Silver,1,Yes,Yes,220
100440,Bronze,2,Yes,Yes,100
100441,Silver,2,No,Yes,220
100442,Silver,1,Yes,No,220
100443,Bronze,1,Yes,Yes,100
100444,Bronze,0,No,No,100
100445,Bronze,3,Yes,Yes,100
100446,Gold,1,Yes,Yes,400
100447,Silver,0,Yes,Yes,220
100448,Gold,2,Yes,Yes,400
100449,Bronze,2,Yes,No,100
100450,Silver,3,Yes,No,220
100451,Bronze,2,Yes,No,100
100452,Bronze,3,Yes,No,100
100453,Silver,3,Yes,Yes,220
100454,Silver,2,Yes,Yes,220
100455,Silver,0,No,No,220
100456,Bronze,1,Yes,No,100
100457,Silver,0,Yes,Yes,220
100458,Gold,3,Yes,Yes,400
100459,Bronze,1,Yes,Yes,100
100460,Gold,0,Yes,Yes,400
100461,Silver,1,Yes,Yes,220
100462,Silver,1,Yes,Yes,220
100463,Silver,2,Yes,No,220
100464,Silver,3,Yes,No,220
100465,Bronze,0,Yes,Yes,100
100466,Gold,1,Yes,Yes,400
100467,Silver,2,Yes,Yes,220
100468,Silver,1,Yes,Yes,220
100469,Silver,1,Yes,Yes,220
100470,Silver,3,Yes,Yes,220
100471,Silver,1,Yes,Yes,220
100472,Silver,1,Yes,Yes,220
100473,Bronze,0,Yes,Yes,100
100474,Silver,0,No,Yes,220
100475,Gold,2,No,Yes,400
100476,Bronze,3,Yes,No,100
100477,Gold,1,No,Yes,400
100478,Bronze,3,Yes,Yes,100
100479,Gold,1,Yes,Yes,400
100480,Gold,3,Yes,Yes,400
100481,Gold,2,Yes,No,400
100482,Gold,2,Yes,Yes,400
100483,Gold,2,Yes,Yes,400
100484,Silver,1,Yes,Yes,220
100485,Silver,3,Yes,No,220
100486,Bronze,0,Yes,Yes,100
100487,Silver,3,No,Yes,220
100488,Bronze,0,Yes,Yes,100
100489,Silver,3,Yes,No,220
100490,Silver,2,Yes,Yes,220
100491,Bronze,2,No,No,100
100492,Bronze,2,No,Yes,100
100493,Gold,2,Yes,Yes,400
100494,Bronze,2,Yes,No,100
100495,Silver,0,No,Yes,220
100496,Silver,2,No,Yes,220
100497,Silver,0,Yes,Yes,220
100498,Bronze,0,Yes,Yes,100
100499,Silver,0,No,No,220
100500,Bronze,3,No,Yes,100
100501,Bronze,3,No,Yes,100
100502,Silver,2,Yes,Yes,220
100503,Bronze,1,No,Yes,100
100504,Gold,0,Yes,No,400
100505,Bronze,3,Yes,No,100
100506,Bronze,0,Yes,Yes,100
100507,Gold,1,No,No,400
100508,Bronze,2,No,Yes,100
100509,Silver,1,Yes,Yes,220
100510,Bronze,2,Yes,Yes,100
100511,Silver,2,Yes,No,220
100512,Silver,3,No,Yes,220
100513,Bronze,3,Yes,Yes,100
100514,Bronze,0,No,No,100
100515,Gold,2,Yes,Yes,400
100516,Bronze,1,Yes,Yes,100
100517,Silver,2,Yes,No,220
100518,Bronze,1,Yes,Yes,100
100519,Silver,0,Yes,Yes,220
100520,Bronze,1,No,Yes,100
100521,Gold,0,Yes,Yes,400
100522,Silver,2,Yes,No,220
100523,Silver,1,Yes,Yes,220
100524,Bronze,1,Yes,No,100
100525,Gold,0,Yes,Yes,400
100526,Bronze,2,Yes,Yes,100
100527,Silver,2,Yes,Yes,220
100528,Gold,2,Yes,Yes,400
100529,Silver,2,Yes,Yes,220
100530,Bronze,2,Yes,Yes,100
100531,Silver,1,Yes,Yes,220
100532,Silver,2,Yes,No,220
100533,Bronze,2,Yes,Yes,100
100534,Gold,3,Yes,Yes,400
100535,Bronze,0,Yes,Yes,100
100536,Gold,1,Yes,Yes,400
100537,Silver,2,No,No,220
100538,Gold,3,Yes,Yes,400
100539,Gold,1,No,No,400
100540,Silver,3,Yes,Yes,220
100541,Silver,3,Yes,Yes,220
100542,Gold,0,No,No,400
100543,Bronze,2,Yes,Yes,100
100544,Gold,2,Yes,No,400
100545,Bronze,3,No,Yes,100
100546,Silver,3,Yes,Yes,220
100547,Gold,1,Yes,Yes,400
100548,Bronze,1,Yes,Yes,100
100549,Silver,2,Yes,No,220
100550,Silver,2,Yes,Yes,220
100551,Silver,0,Yes,No,220
100552,Bronze,0,Yes,Yes,100
100553,Silver,1,Yes,No,220
100554,Silver,2,Yes,Yes,220
100555,Silver,1,No,Yes,220
100556,Gold,1,Yes,Yes,400
100557,Silver,2,Yes,Yes,220
100558,Silver,0,Yes,No,220
100559,Silver,1,Yes,No,220
100560,Silver,2,Yes,Yes,220
100561,Silver,0,Yes,No,220
100562,Silver,0,Yes,Yes,220
100563,Silver,1,Yes,No,220
100564,Silver,2,No,No,220
100565,Gold,0,Yes,No,400
100566,Silver,1,Yes,Yes,220
100567,Bronze,3,No,Yes,100
100568,Silver,1,No,Yes,220
100569,Silver,0,Yes,Yes,220
100570,Bronze,3,Yes,No,100
100571,Gold,0,No,Yes,400
100572,Silver,1,Yes,Yes,220
100573,Bronze,2,Yes,Yes,100
100574,Silver,1,Yes,No,220
100575,Silver,1,No,Yes,220
100576,Silver,0,Yes,No,220
100577,Gold,3,No,Yes,400
100578,Gold,2,Yes,Yes,400
100579,Silver,3,Yes,Yes,220
100580,Silver,0,No,Yes,220
100581,Silver,3,No,Yes,220
100582,Silver,1,Yes,Yes,220
100583,Silver,2,Yes,Yes,220
100584,Gold,3,Yes,No,400
100585,Silver,0,Yes,Yes,220
100586,Gold,0,No,Yes,400
100587,Bronze,1,Yes,Yes,100
100588,Silver,0,Yes,No,220
100589,Bronze,2,Yes,Yes,100
100590,Silver,2,No,Yes,220
100591,Silver,1,Yes,Yes,220
100592,Bronze,0,No,No,100
100593,Silver,3,Yes,Yes,220
100594,Gold,2,Yes,Yes,400
100595,Silver,3,No,Yes,220
100596,Gold,3,Yes,Yes,400
100597,Bronze,0,Yes,Yes,100
100598,Silver,1,Yes,Yes,220
100599,Gold,3,Yes,No,400
100600,Bronze,0,Yes,No,100
100601,Silver,3,No,Yes,220
100602,Silver,3,Yes,Yes,220
100603,Silver,3,No,Yes,220
100604,Bronze,3,Yes,Yes,100
100605,Silver,3,Yes,Yes,220
100606,Silver,3,Yes,Yes,220
100607,Silver,3,Yes,Yes,220
100608,Gold,2,No,Yes,400
100609,Gold,0,No,Yes,400
100610,Silver,3,Yes,Yes,220
100611,Bronze,0,Yes,Yes,100
100612,Bronze,3,Yes,Yes,100
100613,Silver,0,Yes,Yes,220
100614,Bronze,1,Yes,Yes,100
100615,Silver,0,Yes,No,220
100616,Silver,1,No,No,220
100617,Silver,0,No,Yes,220
100618,Bronze,2,Yes,Yes,100
100619,Gold,0,No,Yes,400
100620,Silver,3,Yes,Yes,220
100621,Silver,2,Yes,Yes,220
100622,Bronze,1,Yes,Yes,100
100623,Gold,2,Yes,Yes,400
100624,Gold,3,Yes,Yes,400
100625,Gold,0,Yes,No,400
100626,Silver,2,Yes,Yes,220
100627,Silver,2,Yes,No,220
100628,Bronze,2,Yes,Yes,100
100629,Silver,2,No,Yes,220
100630,Gold,2,No,Yes,400
100631,Bronze,3,Yes,Yes,100
100632,Silver,1,Yes,Yes,220
100633,Silver,1,No,Yes,220
100634,Silver,0,Yes,No,220
100635,Gold,2,Yes,Yes,400
100636,Silver,1,No,Yes,220
100637,Bronze,2,Yes,Yes,100
100638,Silver,3,Yes,Yes,220
100639,Silver,3,No,Yes,220
100640,Silver,1,Yes,Yes,220
100641,Bronze,0,Yes,Yes,100
100642,Silver,1,No,Yes,220
100643,Bronze,1,Yes,No,100
100644,Silver,0,No,Yes,220
100645,Gold,2,Yes,Yes,400
100646,Bronze,3,Yes,Yes,100
100647,Silver,3,Yes,Yes,220
100648,Silver,1,No,No,220
100649,Silver,0,Yes,No,220
100650,Bronze,3,Yes,No,100
100651,Silver,1,No,Yes,220
100652,Bronze,2,Yes,No,100
100653,Silver,3,No,No,220
100654,Bronze,2,Yes,No,100
100655,Gold,2,No,No,400
100656,Silver,2,Yes,No,220
100657,Gold,0,Yes,No,400
100658,Silver,0,Yes,Yes,220
100659,Bronze,2,No,Yes,100
100660,Bronze,2,No,Yes,100
100661,Bronze,2,No,Yes,100
100662,Bronze,0,Yes,Yes,100
100663,Bronze,1,No,Yes,100
100664,Silver,2,Yes,No,220
100665,Silver,3,Yes,Yes,220
100666,Bronze,3,Yes,No,100
100667,Gold,0,Yes,Yes,400
100668,Bronze,3,Yes,No,100
100669,Bronze,0,Yes,Yes,100
100670,Gold,2,Yes,No,400
100671,Silver,2,Yes,Yes,220
100672,Silver,3,Yes,Yes,220
100673,Bronze,0,Yes,No,100
100674,Silver,0,Yes,Yes,220
100675,Bronze,0,Yes,No,100
100676,Bronze,1,Yes,Yes,100
100677,Bronze,2,Yes,No,100
100678,Bronze,1,Yes,Yes,100
100679,Bronze,2,Yes,Yes,100
100680,Silver,2,Yes,Yes,220
100681,Silver,1,Yes,No,220
100682,Silver,2,No,Yes,220
100683,Bronze,3,Yes,No,100
100684,Bronze,3,Yes,No,100
100685,Silver,1,Yes,Yes,220
100686,Gold,2,Yes,Yes,400
100687,Bronze,3,Yes,Yes,100
100688,Bronze,1,Yes,Yes,100
100689,Gold,3,Yes,Yes,400
100690,Bronze,2,Yes,Yes,100
100691,Bronze,0,Yes,Yes,100
100692,Bronze,3,No,Yes,100
100693,Gold,2,Yes,Yes,400
100694,Silver,3,Yes,Yes,220
100695,Silver,1,No,No,220
100696,Silver,1,Yes,Yes,220
100697,Bronze,1,Yes,Yes,100
100698,Bronze,0,No,Yes,100
100699,Gold,2,No,No,400
100700,Gold,2,Yes,Yes,400
100701,Bronze,3,Yes,Yes,100
100702,Bronze,3,No,Yes,100
100703,Silver,2,Yes,Yes,220
100704,Bronze,2,Yes,Yes,100
100705,Gold,2,No,No,400
100706,Silver,1,Yes,Yes,220
100707,Silver,2,Yes,Yes,220
100708,Silver,2,No,Yes,220
100709,Gold,3,No,Yes,400
100710,Bronze,3,Yes,No,100
100711,Silver,3,Yes,Yes,220
100712,Silver,2,Yes,Yes,220
100713,Silver,3,Yes,Yes,220
100714,Silver,0,No,Yes,220
100715,Silver,2,Yes,Yes,220
100716,Silver,1,No,Yes,220
100717,Bronze,1,Yes,Yes,100
100718,Silver,0,Yes,No,220
100719,Silver,2,Yes,Yes,220
100720,Silver,0,No,No,220
100721,Silver,3,No,Yes,220
100722,Gold,0,Yes,No,400
100723,Silver,0,Yes,Yes,220
100724,Gold,0,No,Yes,400
100725,Silver,0,Yes,Yes,220
100726,Silver,2,No,Yes,220
100727,Silver,2,No,Yes,220
100728,Gold,3,Yes,Yes,400
100729,Gold,2,Yes,Yes,400
100730,Bronze,0,Yes,Yes,100
100731,Bronze,1,Yes,Yes,100
100732,Silver,2,Yes,Yes,220
100733,Bronze,2,Yes,No,100
100734,Bronze,2,No,Yes,100
100735,Bronze,1,Yes,Yes,100
100736,Bronze,1,No,No,100
100737,Silver,0,Yes,No,220
100738,Gold,2,Yes,Yes,400
100739,Silver,1,Yes,Yes,220
100740,Silver,3,Yes,No,220
100741,Silver,3,Yes,Yes,220
100742,Bronze,1,Yes,Yes,100
100743,Silver,2,Yes,Yes,220
100744,Silver,1,Yes,Yes,220
100745,Bronze,2,Yes,Yes,100
100746,Silver,3,Yes,No,220
100747,Silver,2,Yes,No,220
100748,Gold,1,Yes,Yes,400
100749,Silver,2,Yes,No,220
100750,Gold,1,Yes,No,400
100751,Silver,0,No,Yes,220
100752,Silver,0,Yes,Yes,220
100753,Silver,1,Yes,Yes,220
100754,Silver,2,Yes,No,220
100755,Silver,0,No,No,220
100756,Bronze,1,Yes,Yes,100
100757,Silver,2,Yes,No,220
100758,Silver,3,Yes,No,220
100759,Bronze,3,No,No,100
100760,Silver,1,Yes,Yes,220
100761,Silver,1,No,Yes,220
